"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Lake Fk at Gateview","09124500	","Colorado","Streamflow","Gunnison","7828","38.29888","-107.23006","140200020608	",,"3-14-2024, 12:19 PM MDT"
"Lake Fordyce","20K07	","California","Snow Course/Aerial Marker","Nevada","6500","39.36","-120.5","180201250601	",,"3-14-2024, 12:19 PM MDT"
"Lake Fork","15E01	","Idaho","Snow Course/Aerial Marker","Valley","5312","44.92075","-115.95108","170501230203	",,"3-14-2024, 12:19 PM MDT"
"Lake Fork Payette R nr Mccall","13240000	","Idaho","Streamflow","Valley","5140","44.91361","-115.99722","170501230203	",,"3-14-2024, 12:19 PM MDT"
"Lake Frances","06095500	","Montana","Reservoir","Pondera","3816","48.26331","-112.20845","100302030605	",,"3-14-2024, 12:19 PM MDT"
"Lake Grace Pass","31G09	","Alaska","Snow Course/Aerial Marker","Ketchikan Gateway","1900","55.66563","-131.10155","190101020502	",,"3-14-2024, 12:19 PM MDT"
"Lake Granby","09009060	","Colorado","Reservoir","Grand","8300","40.18333","-105.86667","140100010308	",,"3-14-2024, 12:19 PM MDT"
"Lake Havasu","09427500	","Arizona","Reservoir","	","500","34.29679","-114.1395","150301010713	",,"3-14-2024, 12:19 PM MDT"
"Lake Helena","06064500	","Montana","Reservoir","Lewis And Clark","3635","46.70144","-111.90289","100301011504	",,"3-14-2024, 12:19 PM MDT"
"Lake Henry","07007130	","Colorado","Reservoir","Crowley","4380","38.26285","-103.72194","110200050406	",,"3-14-2024, 12:19 PM MDT"
"Lake Irene","05J10	","Colorado","Snow Course/Aerial Marker","Grand","10700","40.41667","-105.81667","140100010302	",,"3-14-2024, 12:19 PM MDT"
"Lake Irene","565	","Colorado","SNOTEL","Grand","10682","40.41446","-105.81941","140100010302	",,"3-14-2024, 12:19 PM MDT"
"Lake Koocanusa","12301920	","Montana","Reservoir","Lincoln","2201","48.41075","-115.31367","170101011208	",,"3-14-2024, 12:19 PM MDT"
"Lake Lois","LOS	","California","Cooperator Snow Sensors","El Dorado","8600","38.925","-120.197","180201280201	",,"3-14-2024, 12:19 PM MDT"
"Lake Louise","46N02	","Alaska","Snow Course/Aerial Marker","Matanuska-Susitna","2400","62.275","-146.51667","190205010905	",,"3-14-2024, 12:19 PM MDT"
"Lake Loveland Reservoir","06016180	","Colorado","Reservoir","Larimer","5020","40.41667","-105.08333","101900060605	",,"3-14-2024, 12:19 PM MDT"
"Lake Lowell","13203500	","Idaho","Reservoir","Canyon","2531","43.58201","-116.73526","170501140602	",,"3-14-2024, 12:19 PM MDT"
"Lake Lucille","20L04	","California","Snow Course/Aerial Marker","El Dorado","8188","38.85952","-120.11362","160501010401	",,"3-14-2024, 12:19 PM MDT"
"Lake Mary","11P12	","Arizona","Snow Course/Aerial Marker","Coconino","6930","35.01667","-111.45","150200150202	",,"3-14-2024, 12:19 PM MDT"
