NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
SCZU1|10146000       |DD61B4F6|SLC|39 42 47   |111 48 13   |SALT CREEK AT NEPHI UT
SEKU1|10183500       |DF07E532|SLC|38 12 22   |112 12 25   |SEVIER RIVER NEAR KINGSTON UT
SMCU1|09329050       |DDE4A7F8|SLC|38 37 40   |111 38 50   |SEVEN MILE CREEK NEAR FISH LAKE UT
SRFU1|09328500       |1692C284|SLC|38 51 30   |110 22 10   |SAN RAFAEL RIVER NEAR GREEN RIVER UT
SRIU1|09328910       |17D970DC|SLC|38 45 27.94|110 08 36.70|SAN RAFAEL RIVER AT MOUTH NEAR GREEN RIVER UT
SRJU1|10219000       |16833764|SLC|39 22 29   |112 02 20   |SEVIER RIVER NEAR JUAB UT
SRKU1|10189000       |D10A7538|SLC|38 11 47   |112 08 49   |EAST FORK SEVIER RIVER NEAR KINGSTON UT
SRLU1|10224000       |DDC94682|SLC|39 28 55   |112 23 35   |SEVIER RIVER NEAR LYNNDYL UT
SRSU1|09413000       |175C63D2|SLC|37 04 31   |113 35 32   |SANTA CLARA RIVER AT ST. GEORGE UT
SRYU1|10217000       |163A6E5E|SLC|39 09 19   |111 52 37   |SEVIER RIV BLW SAN PITCH RIV NR GUNNISON UT
STCU1|09408400       |DDE1A038|SLC|37 23 00   |113 28 57   |SANTA CLARA RIVER NEAR PINE VALLEY UT
SWBU1|09285900       |DE601412|SLC|40 07 38   |110 44 28   |STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND UT
SWSU1|10149000       |D10667D2|SLC|40 07 05   |111 18 50   |SIXTH WATER CRK AB SYAR TUN NR SPRINGVILLE UT
SZZU1|10145400       |DDFA1780|SLC|39 43 02   |111 43 58   |SALT CRK BL NEPHI POWERPLANT DIV NR NEPHI UT
TADU1|09277500       |DDF276C0|SLC|40 17 59.09|110 36 15.32|DUCHESNE RIVER NEAR TABIONA UT
TCCU1|10172870       |DD58C24A|SLC|39 44 39   |113 53 21   |TROUT CREEK NEAR CALLAO UT
URRU1|09301500       |DDA0D78E|SLC|40 14 01   |109 48 11   |UINTA RIVER AT RANDLETT UT
VCVU1|10172700       |DD62269A|SLC|39 58 46   |112 22 46   |VERNON CREEK NEAR VERNON UT
VIRU1|09406000       |DE50D77C|SLC|37 12 15   |113 10 48   |VIRGIN RIVER AT VIRGIN UT
VLLU1|09406100       |DD791736|SLC|37 11 49   |113 17 04   |VIRGIN RIVER AB LA VERKIN CREEK NR LA VERKIN UT
VRBU1|09413200       |F004E44A|SLC|37 04 12   |113 35 02   |VIRGIN RIVER NEAR BLOOMINGTON UT
VRSU1|09413500       |DDF4B310|SLC|37 00 52   |113 40 47   |VIRGIN RIVER NEAR ST. GEORGE UT
WBWU1|10129500       |DD0942E6|SLC|40 47 34   |111 24 15   |WEBER RIVER NEAR WANSHIP UT
WCGU1|10172800       |D109313C|SLC|40 29 47   |112 34 25   |SOUTH WILLOW CREEK NEAR GRANTSVILLE UT
WEOU1|10137000       |16F46080|SLC|41 13 37.50|111 59 14.25|WEBER RIVER AT OGDEN UTAH
WESU1|10166430       |DDE3E6C6|SLC|40 24 19   |112 05 59   |WEST CANYON CREEK NEAR CEDAR FORT UT
WEUU1|10136600       |DE6032FE|SLC|41 08 13.5 |111 55 10.4 |WEBER RIVER AT I-84 AT UINTAH UT
WOOU1|10154200       |DDE3B6BA|SLC|40 33 28   |111 10 05   |PROVO RIVER NEAR WOODLAND UT
WOPU1|09314500       |DDDE76B2|SLC|39 15 52   |110 20 34   |PRICE RIVER AT WOODSIDE UT
WRPU1|10129300       |16F4551A|SLC|40 45 04   |111 22 11   |WEBER RIVER NEAR PEOA UTAH
WRSU1|09312600       |16EAD0F8|SLC|39 52 33.66|111 02 15.06|WHITE R BL TABBYUNE CRK NR SOLDIER SUMMIT UT
WWPU1|10141000       |DD9F349E|SLC|41 16 42   |112 05 28   |WEBER RIVER NEAR PLAIN CITY UT
YEZU1|09292000       |DD0FB2AC|SLC|40 32 47   |110 19 59   |YELLOWSTONE R @ BRIDGE CMPGRND NR ALTONAH UT
YLLU1|09292500       |175EE032|SLC|40 30 43   |110 20 27   |YELLOWSTONE RIVER NEAR ALTONAH UT
CCMU1|10146400       |DD6235EC|VEF|39 48 09.33|111 52 00.77|CURRANT CREEK NEAR MONA UT
ACKV2|375723075344404|DD87C722|AKQ|37 57 23.94|075 34 43.48|66M 19 SOW 110S
AHLV2|01672500       |175DE73C|AKQ|37 47 48   |077 32 57   |SOUTH ANNA RIVER NEAR ASHLAND VA
ALKV2|02079640       |DDA2546E|AKQ|36 40 46   |078 19 37   |ALLEN CREEK NEAR BOYDTON VA
BDNV2|364218078015701|17967592|AKQ|36 42 17.70|078 01 56.66|46B  3 SOW 220
BFCV2|02039000       |DDA1B092|AKQ|37 15 25   |078 29 12   |BUFFALO CREEK NEAR HAMPDEN SYDNEY VA
BKEV2|371122078114401|1795A4F4|AKQ|37 11 21.82|078 11 44.01|45F  3 SOW 219
BLHV2|01674500       |1762D244|AKQ|37 53 02   |077 09 55   |MATTAPONI RIVER NEAR BEULAHVILLE VA
BRTV2|02052090       |170787CA|AKQ|36 34 12   |077 21 41   |MEHERRIN RIVER NEAR BRYANTS CORNER VA
BUGV2|02079500       |CE84B3DE|AKQ|36 36 11   |078 17 53   |ROANOKE RIVER AT BUGGS ISLAND VA
BWLV2|01674000       |DD90D1FE|AKQ|38 03 42   |077 23 10   |MATTAPONI RIVER NEAR BOWLING GREEN VA
CARV2|02035000       |DDA89022|AKQ|37 40 15   |078 05 10   |JAMES RIVER AT CARTERSVILLE VA
CBLV2|0203668612     |DDF11AFA|AKQ|37 36 08.8 |077 36 22.1 |CANTERBURY LK AT TUCKAHOE VILLAGE VA
CCRV2|371543076003401|DDBD051E|AKQ|37 15 43.57|076 00 32.15|62G 15 SOW 121
CHIV2|01484746       |DE21A6BA|AKQ|37 54 08.6 |075 24 28.4 |CHINCOTEAGUE BAY INLET AT CHINCOTEAGUE VA
CHWV2|371644077244601|17F520D2|AKQ|37 16 44   |077 24 46   |51G  1
CITV2|375635075271504|DD1255A6|AKQ|37 56 34.13|075 27 15.25|67M 13 SOW 115D
CKHV2|02042500       |178E26D6|AKQ|37 26 10   |077 03 40   |CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE VA
DECV2|02041000       |DDA1D574|AKQ|37 16 59   |077 52 12   |DEEP CREEK NEAR MANNBORO VA
DGSV2|01669520       |DD920262|AKQ|37 38 01   |076 41 48   |DRAGON SWAMP AT MASCOT VA
DNDV2|02047500       |DD92248E|AKQ|37 01 30   |076 52 30   |BLACKWATER RIVER NEAR DENDRON VA
EFWV2|370053076533901|DD138134|AKQ|37 00 52.69|076 53 39.09|55E  7 SOW 214A
EPOV2|02052000       |DDA261F4|AKQ|36 41 24   |077 32 27   |MEHERRIN RIVER AT EMPORIA VA
FKLV2|02050000       |17BD77D4|AKQ|36 40 49   |076 55 07   |BLACKWATER RIVER AT HWYS 58/258 AT FRANKLIN VA
FKNV2|02049500       |DDC3D2B2|AKQ|36 45 45   |076 53 55   |BLACKWATER RIVER NEAR FRANKLIN VA
FKWV2|364059076544901|D11655D6|AKQ|36 40 59   |076 54 49   |55B 16
FNCV2|02036500       |DD90E464|AKQ|37 35 52   |077 49 12   |FINE CREEK AT FINE CREEK MILLS VA
FRMV2|02039500       |DE29D48C|AKQ|37 18 25   |078 23 20   |APPOMATTOX RIVER AT FARMVILLE VA
FSWV2|365150076051101|D11CC1E6|AKQ|36 51 50.40|076 05 10.74|62C 73
HNRV2|373737077083201|17E5F124|AKQ|37 37 37.96|077 08 32.33|53K 19 SOW 080
HRCV2|01671020       |DD921114|AKQ|37 51 00   |077 25 41   |NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL VA
HWRV2|02030000       |DD924168|AKQ|37 48 45   |078 27 20   |HARDWARE RIVER BL BRIERY RUN NR SCOTTSVILLE VA
ICRV2|02079241       |CE849532|AKQ|36 32 56   |078 28 00   |ISLAND CREEK RESERVOIR AT DAM NEAR CLARKSVILLE VA
JRKV2|02037000       |DDA1A3E4|AKQ|37 33 52   |077 34 28   |JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND VA
JSFV2|02042770       |1714875A|AKQ|37 13 12   |076 47 30   |JAMES RIVER AT JAMESTOWN FERRY PIER VA
KERV2|02079490       |CE84A0A8|AKQ|36 35 54   |078 17 57   |JOHN H. KERR RESERVOIR AT DAM NEAR BOYDTON VA
LAWV2|02051500       |DD69A326|AKQ|36 43 00   |077 49 55   |MEHERRIN RIVER NEAR LAWRENCEVILLE VA
LNBV2|02051000       |DDA447D6|AKQ|36 59 50   |078 21 00   |NORTH MEHERRIN RIVER NEAR LUNENBURG VA
LTLV2|365530077104007|DDB98630|AKQ|36 55 30   |077 10 40   |53D 11 SOW 179F
LTTV2|01671100       |DD91F5E8|AKQ|37 52 21   |077 30 48   |LITTLE RIVER NEAR DOSWELL VA
MKNV2|02045320       |1707B250|AKQ|36 54 04   |077 40 25   |NOTTOWAY RIVER AT ROUTE 609 NEAR MCKENNEY VA
MNBV2|02040892       |17936124|AKQ|37 19 05   |077 48 06   |APPOMATTOX RIVER AT ROUTE 602 NEAR MANNBORO VA
MNCV2|0167357970     |16831188|AKQ|37 42 44.1 |077 08 46.9 |MONCUIN CREEK BELOW US HWY 360 NEAR MANQUIN VA
MTCV2|02041650       |DDA785C6|AKQ|37 13 30   |077 28 32   |APPOMATTOX RIVER AT MATOACA VA
MTXV2|02040000       |DDA1C602|AKQ|37 25 17   |077 51 33   |APPOMATTOX RIVER AT MATTOAX VA
NHPV2|372705075555903|DD87E1CE|AKQ|37 27 07.10|075 55 58.24|63H  6 SOW 103A
NNWV2|371208076341102|D11C3162|AKQ|37 12 08   |076 34 11   |58F 51 SOW 171B
PAMV2|01673000       |DD69B050|AKQ|37 46 03   |077 19 57   |PAMUNKEY RIVER NEAR HANOVER VA
PARV2|01670400       |D11CA400|AKQ|38 00 46   |077 42 05   |NORTH ANNA RIVER NEAR PARTLOW VA
PCKV2|01674182       |DF0CA590|AKQ|37 57 37.2 |077 20 36.4 |POLECAT CREEK AT ROUTE 301 NEAR PENOLA VA
PYAV2|02034000       |DE2A2306|AKQ|37 51 28   |078 15 58   |RIVANNA RIVER AT PALMYRA VA
RAWV2|02044500       |DE2A169C|AKQ|36 59 00   |077 48 00   |NOTTOWAY RIVER NEAR RAWLINGS VA
RICV2|02037705       |DDC50414|AKQ|37 31 30   |077 25 16   |JAMES RIVER AT CITY LOCKS AT RICHMOND VA
RMDV2|02037500       |DDA1967E|AKQ|37 33 47   |077 32 50   |JAMES RIVER NEAR RICHMOND VA
RVDV2|02047370       |DF0CC076|AKQ|36 34 00   |076 56 41   |NOTTOWAY RIVER NEAR RIVERDALE VA
SDLV2|01673550       |DD90B418|AKQ|37 39 45   |077 15 29   |TOTOPOTOMOY CREEK NEAR STUDLEY VA
SEBV2|02047000       |DD4FD496|AKQ|36 46 13   |077 09 59   |NOTTOWAY RIVER NEAR SEBRELL VA
SFOV2|363928076332901|DD8854D2|AKQ|36 39 28   |076 33 29   |58B 13
SNKV2|02046000       |DDA50626|AKQ|37 04 01   |077 36 10   |STONY CREEK NEAR DINWIDDIE VA
SOHV2|02051190       |1707A126|AKQ|36 47 13   |078 07 03   |MEHERRIN RIVER AT RT 637 NEAR SOUTH HILL VA
SRRV2|370712076413203|DD882242|AKQ|37 07 12.07|076 41 27.10|57E 13 SOW 094C
STYV2|02045500       |DDA1E0EE|AKQ|36 54 00   |077 24 00   |NOTTOWAY RIVER NEAR STONY CREEK VA
TPPV2|01669000       |DD91E69E|AKQ|37 52 37   |076 54 03   |PISCATAWAY CREEK NEAR TAPPAHANNOCK VA
VABV2|364126076003501|DD883134|AKQ|36 41 27.92|076 00 34.65|62B  1 SOW 098A
VBWV2|364558076074401|17937252|AKQ|36 45 57.80|076 07 44.27|61C 44 SOW 210B
WFLV2|0204226163     |DDF13C16|AKQ|37 39 41.3 |077 34 30.7 |WATERFRONT LAKE AT COX RD AT INNSBROOK VA
WLDV2|0203667630     |DDF12F60|AKQ|37 38 43.0 |077 37 33.4 |WELLESLEY LAKE AT DAM AT SHORT PUMP VA
WREV2|381132076551001|17E4D532|AKQ|38 11 32   |076 55 10   |55P  9
YRKV2|370841076275204|DD886148|AKQ|37 08 41   |076 27 52   |59F 74 SOW 184C
ZUNV2|02047783       |170794BC|AKQ|36 54 23   |076 49 13   |BLACKWATER RIVER AT ROUTE 620 NEAR ZUNI VA
AFRV2|01652500       |DE29B16A|LWX|38 50 36.0 |077 05 09.1 |FOURMILE RUN AT ALEXANDRIA VA
ALEV2|01652545       |17D460CC|LWX|38 50 24.8 |077 03 11.9 |FOURMILE RUN ABOVE HIGHWAY 1 AT ALEXANDRIA VA
ANAV2|01654000       |DDA77542|LWX|38 48 46   |077 13 43   |ACCOTINK CREEK NEAR ANNANDALE VA
BDWV2|01632082       |DD90449C|LWX|38 36 24   |078 48 13   |LINVILLE CREEK AT BROADWAY VA
BERV2|01616100       |D11C82EC|LWX|39 11 33.33|078 04 07.07|DRY MARSH RUN NEAR BERRYVILLE VA
BKTV2|01622000       |DDA7A32A|LWX|38 20 25   |078 54 50   |NORTH RIVER NEAR BURKETOWN VA
BSWV2|384821078472301|179382D6|LWX|38 48 20.95|078 47 22.70|40U  3 SOW 218
BTNV2|01635500       |DD907106|LWX|38 57 29   |078 16 01   |PASSAGE CREEK NEAR BUCKTON VA
BYVV2|01615000       |175F4230|LWX|39 10 29   |078 04 42   |OPEQUON CREEK NEAR BERRYVILLE VA
CDRV2|01656000       |DD908182|LWX|38 38 12   |077 37 31   |CEDAR RUN NEAR CATLETT VA
CLPV2|01667500       |DD9274F2|LWX|38 21 01   |077 58 31   |RAPIDAN RIVER NEAR CULPEPER VA
COOV2|01632000       |DD5003F2|LWX|38 38 13   |078 51 11   |N F SHENANDOAH RIVER AT COOTES STORE VA
CTYV2|01656903       |170DA074|LWX|38 52 56.2 |077 25 55.9 |FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY VA
DOOV2|01626850       |DDC445E4|LWX|38 05 19   |078 52 38   |SOUTH RIVER NEAR DOOMS VA
FDBV2|01668000       |DDB2A374|LWX|38 18 30   |077 31 46   |RAPPAHANNOCK RIVER NEAR FREDERICKSBURG VA
FFDV2|01645704       |DD503668|LWX|38 53 04.5 |077 19 57.8 |DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX VA
FROV2|01631000       |DD501084|LWX|38 54 50   |078 12 40   |S F SHENANDOAH RIVER AT FRONT ROYAL VA
FUVV2|02032250       |DDC45692|LWX|38 08 26   |078 33 22   |MOORMANS RIVER NEAR FREE UNION VA
GACV2|01660400       |175C9356|LWX|38 29 25   |077 26 02   |AQUIA CREEK NEAR GARRISONVILLE VA
GFLV2|01646000       |17E772C4|LWX|38 58 33   |077 14 46   |DIFFICULT RUN NEAR GREAT FALLS VA
GNHV2|0164579522     |DDF0487C|LWX|38 55 32.16|077 19 45.62|THE GLADE NEAR HOWLAND DRIVE AT RESTON VA
GROV2|01625000       |17E615D8|LWX|38 15 42   |078 51 44   |MIDDLE RIVER NEAR GROTTOES VA
GVWV2|381002078094201|DD87F2B8|LWX|38 10 02   |078 09 42   |45P  1 SOW 030
HARV2|01627500       |DD91D304|LWX|38 13 07   |078 50 13   |SOUTH RIVER AT HARRISTON VA
HFDV2|01613900       |DDA23188|LWX|39 12 52   |078 17 18   |HOGUE CREEK NEAR HAYFIELD VA
HGWV2|385607077381101|DD6985CA|LWX|38 56 07   |077 38 11   |49V  1
INHV2|01658500       |D11C7268|LWX|38 35 14   |077 25 44   |S F QUANTICO CREEK NEAR INDEPENDENT HILL VA
LBAV2|01654500       |1707774E|LWX|38 48 48.5 |077 14 12.3 |LONG BRANCH NEAR ANNANDALE VA
LBUV2|01643590       |DE2EB35E|LWX|39 10 03.4 |077 32 09.3 |LIMESTONE BRANCH NEAR LEESBURG VA
LBWV2|390623077314201|DDAC659C|LWX|39 06 23   |077 31 42   |50W  4C
LEEV2|01644000       |DDA796B0|LWX|39 01 10   |077 34 40   |GOOSE CREEK NEAR LEESBURG VA
LOCV2|01666500       |DD90A76E|LWX|38 19 30   |078 05 45   |ROBINSON RIVER NEAR LOCUST DALE VA
LRGV2|01644280       |175DC1D0|LWX|39 02 47.1 |077 25 56.6 |BROAD RUN NEAR LEESBURG VA
LRLV2|01662800       |DD9092F4|LWX|38 39 20   |078 04 27   |BATTLE RUN NEAR LAUREL MILLS VA
LSGV2|390927077330900|176306D6|LWX|39 09 27.0 |077 33 09.1 |METEOROLOGICAL STATION NEAR LEESBURG VA
LVRV2|391556077381600|176315A0|LWX|39 15 55.7 |077 38 16.1 |METEOROLOGICAL STATION AT LOVETTSVILLE VA
LVTV2|01636690       |1781634E|LWX|39 18 39.0 |077 43 06.6 |PINEY RUN NEAR LOVETTSVILLE VA
LYWV2|01628500       |DD90320C|LWX|38 19 21   |078 45 18   |S F SHENANDOAH RIVER NEAR LYNNWOOD VA
MCHV2|385655077112201|DDE72830|LWX|38 56 54.77|077 11 22.28|MET STATION AT CHURCHILL ROAD PARK AT MCLEAN VA
MDLV2|01643700       |DDACC564|LWX|38 59 11   |077 47 49   |GOOSE CREEK NEAR MIDDLEBURG VA
MDRV2|01646305       |17031792|LWX|38 57 34.8 |077 10 33.5 |DEAD RUN AT WHANN AVENUE NEAR MCLEAN VA
MECV2|02031000       |DD91A594|LWX|38 06 09   |078 35 35   |MECHUMS RIVER NEAR WHITE HALL VA
MGWV2|382150078424001|DD6996BC|LWX|38 21 50   |078 42 40   |41Q  1
MLRV2|384933077155801|17ED8312|LWX|38 49 32.74|077 15 57.81|MET STN AT LITTLE RUN ELEM SCHOOL AT FAIRFAX VA
MLWV2|01636316       |16E82588|LWX|39 04 01.29|078 00 13.51|SPOUT RUN AT RT 621 NEAR MILLWOOD VA
MOJV2|01633000       |DDA4D2B4|LWX|38 44 44   |078 38 21   |N F SHENANDOAH RIVER AT MOUNT JACKSON VA
MUDV2|01621050       |17636330|LWX|38 29 12   |078 57 38   |MUDDY CREEK AT MOUNT CLINTON VA
MUVV2|01643880       |DDACB3F4|LWX|39 02 15.8 |077 43 20.1 |BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE VA
MWWV2|390348078035501|17F533A4|LWX|39 03 48   |078 03 55   |46W175
NFGV2|01643805       |17817038|LWX|39 04 20.3 |077 41 02.2 |N F GOOSE CREEK AT RT 729 NEAR LINCOLN VA
NFRV2|02032640       |DD926784|LWX|38 09 48   |078 25 30   |N F RIVANNA RIVER NEAR EARLYSVILLE VA
NVWV2|391542077423801|DD6EA112|LWX|39 15 42   |077 42 38   |49Y  1 SOW 022
NWMV2|01632900       |166BA32A|LWX|38 41 36   |078 38 35   |SMITH CREEK NEAR NEW MARKET VA
OTWV2|384957077481701|D11C47F2|LWX|38 49 57.48|077 48 17.32|48U 26 SOW 215
PWWV2|383423077245901|DD696638|LWX|38 34 23   |077 24 59   |51S  7
RENV2|01664000       |DD4FF27A|LWX|38 31 50   |077 48 50   |RAPPAHANNOCK RIVER AT REMINGTON VA
RSWV2|385638077220101|DD4D4400|LWX|38 56 58   |077 22 01   |52V  2D
RUCV2|01665500       |DDA3F66C|LWX|38 16 50   |078 20 25   |RAPIDAN RIVER NEAR RUCKERSVILLE VA
RXYV2|01663500       |DD4FE10C|LWX|38 35 30   |077 57 55   |HAZEL RIVER AT RIXEYVILLE VA
SBAV2|0164578734     |1689C6B2|LWX|38 55 46.78|077 20 28.10|SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON VA
SFSV2|01629500       |DDA520CA|LWX|38 38 46   |078 32 06   |S F SHENANDOAH RIVER NEAR LURAY VA
SKVV2|01620500       |178D443E|LWX|38 20 06   |079 14 21   |NORTH RIVER NEAR STOKESVILLE VA
SORV2|02032515       |172B01AC|LWX|38 06 06   |078 27 39   |S F RIVANNA RIVER NEAR CHARLOTTESVILLE VA
SPTV2|01673800       |DD90C288|LWX|38 10 17   |077 35 42   |PO RIVER NEAR SPOTSYLVANIA VA
STGV2|01634000       |DD69754E|LWX|38 58 36   |078 20 11   |N F SHENANDOAH RIVER NEAR STRASBURG VA
STWV2|382523078535501|17EE0208|LWX|38 07 49   |079 04 07   |38P  1 SOW 070
TAYV2|01638480       |DDA24718|LWX|39 15 18   |077 34 36   |CATOCTIN CREEK AT TAYLORSTOWN VA
VLDV2|01645762       |170DB302|LWX|38 54 31.6 |077 20 18.8 |S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA VA
WATV2|01638350       |DDFF75A6|LWX|39 11 28.0 |077 36 55.6 |S F CATOCTIN CREEK AT RT 698 NEAR WATERFORD VA
WAYV2|01626000       |17E63334|LWX|38 03 27   |078 54 30   |SOUTH RIVER NEAR WAYNESBORO VA
WCCV2|01634500       |DD906270|LWX|39 04 52   |078 19 47   |CEDAR CREEK NEAR WINCHESTER VA
WNFV2|01638420       |DD04741A|LWX|39 12 18.0 |077 37 26.0 |N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD VA
BCBV2|03478400       |DDFF66D0|MRX|36 37 54   |082 08 02   |BEAVER CREEK AT BRISTOL VA
BSGV2|03529500       |DD506614|MRX|36 52 08   |082 46 32   |POWELL RIVER AT BIG STONE GAP VA
CLVV2|03524000       |DD6AE722|MRX|36 56 41   |082 09 18   |CLINCH RIVER AT CLEVELAND VA
GATV2|03490000       |244E86F2|MRX|36 36 31   |082 34 05   |N F HOLSTON RIVER NEAR GATE CITY VA
JNSV2|03531500       |DD6AF454|MRX|36 39 43   |083 05 42   |POWELL RIVER NEAR JONESVILLE VA
MFHV2|03475000       |175E03C0|MRX|36 42 47   |081 49 08   |M F HOLSTON RIVER NEAR MEADOWVIEW VA
SFYV2|03527000       |DD50538E|MRX|36 38 55   |082 45 02   |CLINCH RIVER AT SPEERS FERRY VA
VSTV2|03473000       |177841EA|MRX|36 39 06   |081 50 39   |S F HOLSTON RIVER NEAR DAMASCUS VA
BIGV2|03207800       |CE4FF718|RLX|37 21 13   |082 11 45   |LEVISA FORK AT BIG ROCK VA
BRFV2|03209200       |CE57E756|RLX|37 14 45   |082 19 25   |RUSSELL FORK AT BARTLICK VA
CNRV2|03208950       |CE57CF68|RLX|37 07 26   |082 26 20   |CRANES NEST RIVER NEAR CLINTWOOD VA
GRWV2|371841081584201|171AF5A2|RLX|37 18 41.39|081 58 41.10|15G 19 SOW 222
HAIV2|03208500       |CE57D2CC|RLX|37 12 25   |082 17 45   |RUSSELL FORK AT HAYSI VA
HAYV2|03209000       |CE4B0C74|RLX|37 14 13   |082 20 36   |POUND RIVER BELOW FLANNAGAN DAM NEAR HAYSI VA
HRYV2|372511082011601|DE2B441A|RLX|37 25 11.16|082 01 15.79|METEOROLOGICAL STATION AT HURLEY VA
KNXV2|0321357157     |DE2B328A|RLX|37 23 08.73|082 00 00.49|KNOX CREEK BELOW STRAIGHT FORK AT BLACKEY VA
ALSV2|03168000       |CE57F420|RNK|36 56 15   |080 44 45   |NEW RIVER AT ALLISONIA VA
ALTV2|02060500       |DF00B9A8|RNK|37 06 20.5 |079 17 08.3 |ROANOKE RIVER AT ALTAVISTA VA
ARVV2|02030500       |DDB9B3AA|RNK|37 42 10   |078 22 40   |SLATE RIVER NEAR ARVONIA VA
BANV2|03173000       |CE5F0002|RNK|37 16 05   |080 42 35   |WALKER CREEK AT BANE VA
BASV2|02072500       |CE7964C4|RNK|36 46 12   |080 00 04   |SMITH RIVER AT BASSETT VA
BCKV2|02056650       |DD5040F8|RNK|37 13 39   |079 52 06   |BACK CREEK NEAR DUNDEE VA
BCVV2|02011400       |CE25C1E2|RNK|38 02 32   |079 52 54   |JACKSON RIVER NEAR BACOVA VA
BCWV2|372608078404601|17E78240|RNK|37 26 08   |078 40 46   |41H  3
BECV2|02026000       |DD6A54AC|RNK|37 32 10   |078 49 47   |JAMES RIVER AT BENT CREEK VA
BKCV2|02011500       |CE25E70E|RNK|38 04 10   |079 53 50   |BACK CREEK NEAR MOUNTAIN GROVE VA
BKSV2|02011460       |DD09D784|RNK|38 14 43   |079 46 08   |BACK CREEK NEAR SUNRISE VA
BLAV2|02056900       |DDA4E72E|RNK|37 02 42   |079 50 40   |BLACKWATER RIVER NEAR ROCKY MOUNT VA
BNDV2|370609081071801|CE67C918|RNK|37 06 09   |081 07 18   |METEOROLOGICAL STATION AT BLAND VA
BNNV2|02019500       |17C4B13A|RNK|37 31 50   |079 40 45   |JAMES RIVER AT BUCHANAN VA
BPRV2|02015700       |DDA404DC|RNK|38 11 43   |079 34 14   |BULLPASTURE RIVER AT WILLIAMSVILLE VA
BROV2|02062500       |CE795F8C|RNK|37 02 22.0 |078 56 44.6 |ROANOKE (STAUNTON) RIVER AT BROOKNEAL VA
BRVV2|03177710       |DDA51550|RNK|37 16 17   |081 18 18   |BLUESTONE RIVER AT FALLS MILLS VA
BVSV2|02024000       |DE2EA028|RNK|37 45 45   |079 23 30   |MAURY RIVER NEAR BUENA VISTA VA
CCKV2|03165000       |DD0AD08A|RNK|36 38 45   |080 55 10   |CHESTNUT CREEK AT GALAX VA
CFKV2|371030081181000|CE00243E|RNK|37 10 30.28|081 18 09.84|METEOROLOGICAL STATION NEAR BASTIAN VA
CHSV2|363540076532701|DDFE775C|RNK|36 35 40.18|079 53 26.58|MET STATION AT MAGNA VISTA HS NR RIDGEWAY VA
COWV2|02016000       |17EDF582|RNK|37 47 30   |079 45 35   |COWPASTURE RIVER NEAR CLIFTON FORGE VA
CRGV2|02018000       |DD50251E|RNK|37 39 57   |079 54 42   |CRAIG CREEK AT PARR VA
CRNV2|02023480       |DE27C392|RNK|37 48 18.77|079 19 25.00|SOUTH RIVER AT RT 716 NEAR BUENA VISTA VA
CTWV2|02018500       |DDA4F458|RNK|37 28 05   |080 00 20   |CATAWBA CREEK NEAR CATAWBA VA
CUBV2|02065500       |DDA454A0|RNK|37 04 45   |078 45 50   |CUB CREEK AT PHENIX VA
CVGV2|02013100       |CE2640F8|RNK|37 47 19   |080 00 03   |JACKSON RIVER BL DUNLAP CREEK AT COVINGTON VA
DAEV2|02055100       |DD69C6C0|RNK|37 25 03   |079 56 08   |TINKER CREEK NEAR DALEVILLE VA
DLPV2|02013000       |CE263668|RNK|37 48 10   |080 02 50   |DUNLAP CREEK NEAR COVINGTON VA
DVLV2|02075045       |CE448CF2|RNK|36 33 45   |079 22 12   |DAN RIVER AT STP NEAR DANVILLE VA
EVGV2|02061500       |DDA4A424|RNK|37 12 30   |079 18 14   |BIG OTTER RIVER NEAR EVINGTON VA
FLGV2|02012500       |CE261084|RNK|37 52 36   |079 58 39   |JACKSON RIVER AT FALLING SPRING VA
FLRV2|02064000       |DDA20412|RNK|37 07 36   |078 57 36   |FALLING RIVER NEAR NARUNA VA
GAXV2|03164000       |CE57E984|RNK|36 38 50   |080 58 45   |NEW RIVER NEAR GALAX VA
GLLV2|03176500       |CE4E7D24|RNK|37 22 22   |080 51 39   |NEW RIVER AT GLEN LYN VA
GNVV2|02054530       |DD8847A4|RNK|37 16 04   |080 08 23   |ROANOKE RIVER AT GLENVAR VA
GOHV2|02020500       |DDA417AA|RNK|37 59 16   |079 29 38   |CALFPASTURE RIVER ABOVE MILL CREEK AT GOSHEN VA
GRHV2|03167000       |DD0C70BC|RNK|36 56 20   |080 53 15   |REED CREEK AT GRAHAMS FORGE VA
