NWS  |USGS           |        |   |           |            |
5 CHR|STATION        |GOES    |NWS|LATITUDE   |LONGITUDE   |LOCATION
IDENT|NUMBER         |IDENTIFR|HSA|dd mm ss   | ddd mm ss  |NAME
-----|---------------|--------|---|-----------|------------|------------------------------
LTCA1|02423414       |17BF47BA|BMX|33 26 23   |086 41 56   |LITTLE CAHABA RIVER AT CAH BEA RD NR CAHABA HTS AL
LVNA1|02467500       |DE1002C8|BMX|32 34 25   |088 11 36   |SUCARNOOCHEE RIVER AT LIVINGSTON AL
MCHA1|02453000       |17BF04B0|BMX|33 54 30   |087 15 25   |BLACKWATER CREEK NEAR MANCHESTER AL
MGMA1|02419988       |DE0CE738|BMX|32 23 32.05|086 18 55.46|ALABAMA RIVER AT MONTGOMERY AL
MGYA1|02419890       |DD64B336|BMX|32 26 23   |086 11 44   |TALLAPOOSA RIVER NEAR MONT.-MONT. WATER WORKS
MILA1|02419500       |17DF15F4|BMX|32 26 56   |085 53 51   |TALLAPOOSA RIVER AT MILSTEAD AL
MNJA1|02425000       |DD05500C|BMX|32 26 38   |087 10 49   |CAHABA RIVER NEAR MARION JUNCTION AL
MTBA1|02423380       |DD283762|BMX|33 28 54   |086 42 46   |CAHABA RIVER NEAR MOUNTAIN BROOK AL
MWLA1|322047086214301|DE13E634|BMX|32 20 47   |086 21 43   |WELL   K 107 MTG-3 MONTGOMERY COUNTY AL
NELA1|02413300       |1778D488|BMX|33 26 14   |085 23 57   |LITTLE TALLAPOOSA RIVER NEAR NEWELL AL
NOXA1|02448500       |DE118626|BMX|32 55 57   |088 17 52   |NOXUBEE RIVER NR GEIGER AL
OHCA1|02401895       |1637F85A|BMX|33 46 49   |085 59 54   |OHATCHEE CREEK AT OHATCHEE AL
OKGA1|02462000       |1778F264|BMX|33 26 50   |087 07 20   |VALLEY CREEK NEAR OAK GROVE AL
PARA1|02454000       |DE240182|BMX|33 45 50   |087 21 30   |LOST CREEK NEAR OAKMAN AL
POPA1|02450825       |DE1383D2|BMX|34 04 52   |087 25 22   |CLEAR C AT NEW HOPE CHURCH NR POPLAR SPRINGS AL.
PRTA1|02458502       |16FFE53C|BMX|33 31 26   |086 53 28   |VILLAGE CREEK NEAR PRATT CITY ALABAMA
REPA1|02457595       |DD05437A|BMX|33 35 49   |086 52 05   |FIVEMILE CREEK NEAR REPUBLIC AL
ROCA1|02408540       |17657088|BMX|32 55 00   |086 16 13   |HATCHET CREEK BELOW ROCKFORD AL
SAMA1|02464000       |DE11B3BC|BMX|33 28 45   |087 35 50   |NORTH RIVER NEAR SAMANTHA AL
SAYA1|02456500       |176F71DA|BMX|33 42 35   |086 59 00   |LOCUST FORK AT SAYRE AL.
SCOA1|02406930       |344BE350|BMX|33 12 42   |086 16 24   |SHIRTEE CREEK NEAR ODENA ALABAMA
SELA1|02423000       |DE0CF44E|BMX|32 24 20   |087 01 07   |ALABAMA RIVER AT SELMA AL
SOSA1|02401330       |DF13476E|BMX|33 56 35   |086 01 34   |COOSA RIVER NR SOUTHSIDE ALA
SUTA1|02424590       |DE2170D2|BMX|32 31 45   |087 11 56   |CAHABA RIVER NEAR SUTTLE AL.
TCLA1|02462952       |DDAC130C|BMX|33 15 10   |087 27 05   |BLACK WARRIOR RIVER BELOW HOLT L&D NEAR HOLT AL
TCPA1|02462951       |174507F6|BMX|33 15 11   |087 26 57   |BLACK WARRIOR RIVER AT HOLT L&D NEAR HOLT AL.
TKYA1|02455980       |DDE82070|BMX|33 42 40   |086 41 46   |TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL
TODA1|02465000       |DE13A53E|BMX|33 12 33   |087 35 24   |BLACK WARRIOR RIVER AT NORTHPORT AL
TRSA1|02423130       |DD03A046|BMX|33 37 20   |086 35 58   |CAHABA RIVER AT TRUSSVILLE AL.
TWLA1|333204087324601|1765A6E0|BMX|33 32 04   |087 32 46   |WELL (TW5 DRY BRANCH WELL) TUSCALOOSA CNTY AL
TYLA1|02421350       |1745D19E|BMX|32 19 30   |086 47 05   |ALABAMA RIVER AT ROBERT F HENRY LOCK AND DAM
UPHA1|02419000       |DE1523E4|BMX|32 28 36   |085 41 42   |UPHAPEE CREEK NEAR TUSKEGEE AL
VALA1|02461130       |DF09FCFE|BMX|33 30 20.78|086 50 11.24|VALLEY CREEK AT CENTER ST AT BIRMINGHAM AL
VAWA1|02461192       |DF0A0B74|BMX|33 29 33.40|086 52 19.82|VALLEY CREEK AT AVE W NEAR ENSLEY AL
