gauge_id;MINLON;MAXLON;MINLAT;MAXLAT
07060710;-92.39138;-92.17965;35.94756;36.12869
07066000;-92.02911;-91.31473;36.94448;37.25004
07067000;-92.02911;-90.93789;36.86839;37.59803
07068000;-91.14543;-91.10508;36.67201;36.7123
07071500;-91.98608;-91.94573;36.93177;36.97205
07083000;-106.54441;-106.33509;39.07962;39.22613
07142300;-99.85764;-98.81991;37.41167;37.94111
07145700;-97.41786;-97.37751;37.34746;37.388
07148400;-99.44796;-98.59971;36.75892;37.51891
07149000;-99.38256;-98.42554;37.00287;37.66993
07151500;-98.83048;-97.542;37.09996;37.61877
07167500;-96.54104;-96.19626;37.57285;37.78405
07180500;-96.9374;-96.6182;38.03412;38.22727
07184000;-95.04647;-94.98938;37.24903;37.2957
07195800;-94.46022;-94.33625;36.2291;36.33852
07196900;-94.50869;-94.33442;35.79907;35.96547
07197000;-94.87137;-94.33442;35.71616;36.12223
07208500;-105.23503;-104.92801;36.31366;36.50456
07226500;-103.90524;-103.86488;35.65198;35.69227
07261000;-92.39552;-92.35517;35.48467;35.52494
07263295;-92.99581;-92.71482;34.82711;34.95728
07290650;-90.52378;-90.48345;31.61253;31.65281
07291000;-90.86885;-90.52173;31.47742;31.79407
07292500;-91.18772;-90.47854;31.19488;31.79407
07295000;-91.36052;-91.00026;31.05505;31.2923
07299670;-100.23492;-99.71093;34.20621;34.51387
07301410;-100.52546;-100.4851;35.58182;35.6221
07301500;-99.52558;-99.48259;35.14788;35.18958
07315200;-98.28274;-97.98405;33.49056;33.84305
07315700;-97.95871;-97.44266;33.96587;34.5324
07335700;-94.63512;-94.59478;34.59118;34.63145
07340300;-94.32338;-93.98865;34.31774;34.51341
07346045;-94.73447;-94.31482;32.74102;33.23056
07359610;-93.83767;-93.79734;34.4604;34.50067
07362100;-92.98926;-92.94893;33.22427;33.26455
07362587;-92.94336;-92.90301;34.77999;34.82027
07373000;-92.52499;-92.48466;31.51115;31.55143
07375000;-90.26953;-90.22791;30.58318;30.62431
07376000;-90.79737;-90.53483;30.47977;31.18081
08013000;-92.80509;-92.76476;31.21936;31.25965
08014500;-93.2202;-92.7537;30.63676;31.16546
08023080;-93.98784;-93.73537;31.92714;32.16409
08025500;-93.58072;-93.29083;31.28526;31.58734
08029500;-93.9771;-93.72331;30.66085;31.10895
08050800;-97.06949;-96.91034;33.5098;33.73334
08066200;-95.01386;-94.77604;30.66983;30.97239
08066300;-94.92566;-94.63862;30.42329;30.81036
08070000;-95.30206;-95.26175;30.44637;30.48664
08070200;-95.30206;-95.26175;30.44637;30.48664
08079600;-101.44694;-101.4066;33.19254;33.23282
08082700;-99.74739;-99.43383;33.16716;33.39442
08086212;-99.17485;-99.13452;32.46095;32.50123
08086290;-99.15844;-99.11811;32.57418;32.61446
08101000;-98.55705;-98.51671;31.65209;31.69264
08103900;-98.21961;-98.01381;30.84382;30.97656
08104900;-98.20504;-97.64661;30.57439;30.78106
08109700;-97.34978;-96.84835;30.29408;30.58709
08150800;-99.29336;-98.96866;30.30964;30.67727
08155200;-98.21284;-98.17252;30.20152;30.2418
08158700;-98.10601;-98.06569;30.18658;30.22685
08158810;-98.02293;-97.98261;30.17137;30.21164
08164000;-97.22936;-97.18812;29.35852;29.39881
08164300;-96.81642;-96.7761;29.7266;29.76714
08164600;-97.13197;-96.76749;28.82751;29.08315
08165300;-99.68229;-99.64197;30.08252;30.1228
08171300;-98.73577;-97.87146;29.90842;30.18754
08175000;-97.46341;-97.42246;29.18831;29.22939
08176900;-97.23658;-97.19627;28.90089;28.94117
08178880;-99.55881;-99.51849;29.88693;29.92721
08189500;-97.73931;-97.69899;28.4514;28.49194
08190000;-99.84758;-99.80663;29.9949;30.03547
08190500;-100.58667;-100.06758;29.44194;30.14214
08194200;-99.37952;-98.9229;27.5155;28.02598
08195000;-99.88984;-99.54887;29.46627;30.02183
08196000;-99.95076;-99.73325;29.46185;29.80237
08198500;-99.68102;-99.42066;29.23219;29.88869
08200000;-99.26583;-99.22207;29.54664;29.58856
08202700;-99.50938;-99.23929;29.33205;29.75943
08267500;-105.5836;-105.39427;36.51047;36.65719
08269000;-105.52823;-105.29894;36.37835;36.57218
08271000;-105.5708;-105.37494;36.46801;36.56889
08324000;-106.89354;-106.37005;35.63191;36.14561
08377900;-105.68049;-105.46645;35.74937;35.98697
08378500;-105.7849;-105.46645;35.67763;36.00215
08380500;-105.57394;-105.28374;35.61948;35.83296
09034900;-105.95472;-105.86039;39.69028;39.80225
09035800;-106.04764;-105.93169;39.7759;39.86704
09035900;-106.09693;-105.90126;39.6638;39.82276
09047700;-106.00141;-105.88139;39.51417;39.62245
09065500;-106.30104;-106.15593;39.58241;39.68345
09066000;-106.28984;-106.17633;39.5101;39.64022
09066200;-106.35377;-106.27101;39.62571;39.72588
09066300;-106.4057;-106.30806;39.62298;39.72361
09081600;-107.40091;-106.96628;38.96488;39.26732
09107000;-106.7694;-106.72902;39.02228;39.06257
09210500;-110.66862;-110.39423;41.99009;42.44241
09223000;-110.83239;-110.60594;42.08478;42.39001
09306242;-108.63861;-108.41266;39.8167;39.95787
09312600;-111.16323;-110.93889;39.84434;40.06719
09352900;-107.62738;-107.43837;37.45474;37.72851
09378170;-109.48806;-109.34575;37.79657;37.87268
09378630;-109.50364;-109.4311;37.72825;37.8443
09386900;-108.60041;-108.34522;35.2286;35.42089
09404450;-112.72289;-112.4498;37.30735;37.5169
09430500;-107.84441;-107.80405;33.33744;33.37774
09430600;-108.70697;-108.40999;33.13796;33.327
09447800;-109.97216;-109.47614;32.92616;33.33352
09480000;-110.7696;-110.42151;31.3145;31.53638
09484000;-110.86342;-110.69474;32.28506;32.46949
09484600;-110.61098;-110.57061;32.08019;32.12049
09492400;-109.59139;-109.55102;33.86107;33.90137
09494000;-109.59139;-109.55102;33.86107;33.90137
09497800;-110.56595;-110.52558;34.19847;34.23877
09497980;-110.79389;-110.75346;34.15915;34.19973
09505200;-111.70554;-111.37064;34.565;34.8526
09505350;-111.57369;-111.53331;34.89658;34.93689
09505800;-111.32763;-111.28725;34.73197;34.77228
09508300;-111.73309;-111.46342;34.09646;34.25296
09510200;-111.61289;-111.3515;33.64578;34.02652
09512280;-111.89564;-111.85527;33.88192;33.92223
09513780;-112.18621;-111.8549;33.91456;34.11396
10023000;-111.46522;-111.18787;41.49841;41.65802
10166430;-112.3202;-112.27978;40.55121;40.59152
10172700;-112.21871;-112.1755;39.89944;39.94011
10172800;-112.65197;-112.44825;40.41584;40.602
10173450;-112.86137;-112.48937;37.51988;37.73748
10205030;-111.60745;-111.42033;38.8555;39.09912
10234500;-112.59803;-112.31544;38.16379;38.40594
10242000;-113.59366;-112.75875;37.45484;38.02434
10244950;-114.71495;-114.67281;39.17443;39.21601
10249300;-117.11091;-117.07049;38.62816;38.66848
10258000;-116.70756;-116.50187;33.73497;33.87239
10258500;-116.64698;-116.60659;33.69822;33.73854
10259000;-116.66723;-116.51043;33.725;33.80448
10259200;-116.39674;-116.35635;33.43718;33.4775
10263500;-117.62678;-117.58638;34.35632;34.39664
10310500;-119.92388;-119.74482;39.0627;39.17435
10316500;-115.33109;-115.28802;40.58867;40.63256
10329500;-117.60743;-117.22663;41.47825;41.80997
10336645;-120.22705;-120.09024;38.9576;39.07661
10336660;-120.27254;-120.11161;39.04061;39.14674
10336740;-119.96274;-119.87058;39.01408;39.09013
10343500;-120.25321;-120.21176;39.40984;39.45037
10348850;-119.9612;-119.79206;39.29179;39.38448
10396000;-118.71229;-118.67185;42.44458;42.4849
11098000;-118.23075;-118.07846;34.19376;34.30709
11124500;-119.93818;-119.64824;34.56998;34.73339
11141280;-120.62362;-120.43721;35.20796;35.34406
11143000;-121.79586;-121.57003;36.15719;36.32243
11148900;-121.49663;-121.06402;35.75925;36.05997
11151300;-121.11995;-120.60686;36.08191;36.4478
11162500;-122.35712;-122.31468;37.24103;37.28268
11176400;-121.72364;-121.38673;37.26626;37.59365
11180500;-122.06513;-121.94283;37.56788;37.67551
11180960;-122.09439;-122.02071;37.68674;37.83315
11224500;-120.48016;-120.43584;36.19721;36.23944
11230500;-119.00135;-118.74762;37.25764;37.41971
11237500;-119.25906;-119.07281;37.11342;37.23593
11253310;-120.65538;-120.3607;36.3029;36.50461
11264500;-119.61493;-119.23726;37.57374;37.86096
11266500;-119.69732;-119.65583;37.69285;37.73474
11274500;-121.4796;-121.05256;37.13012;37.4248
11274630;-121.5079;-121.14651;37.34985;37.53434
11284400;-120.20955;-120.06871;37.76138;37.86796
11299600;-120.70143;-120.54045;37.93379;38.06498
11381500;-122.05763;-121.45304;40.02755;40.50596
11383500;-121.96988;-121.9278;39.93898;39.98015
11451100;-122.86753;-122.59472;39.12085;39.28026
11468500;-123.7595;-123.38641;39.32182;39.53506
11473900;-123.3758;-123.33537;39.84702;39.88736
11475560;-123.66851;-123.55211;39.66645;39.75481
11476600;-124.08887;-124.04843;40.28858;40.32891
11478500;-123.92652;-123.35506;40.22936;40.59136
11480390;-123.39809;-123.10614;40.06821;40.3205
11481200;-123.98151;-123.94106;41.05564;41.09598
11482500;-123.69792;-123.65747;40.74642;40.78675
11522500;-123.51649;-122.87716;40.9721;41.58619
11523200;-122.82276;-122.45987;41.07377;41.38824
11528700;-123.60629;-122.93565;40.11168;40.76408
11532500;-124.06932;-124.02886;41.88999;41.93032
12010000;-123.79318;-123.52824;46.34223;46.557
12013500;-123.74827;-123.38427;46.43891;46.68294
12020000;-123.44066;-123.18655;46.36147;46.65702
12025000;-123.01047;-122.44758;46.52377;46.75357
12025700;-122.6566;-122.41215;46.65454;46.81364
12035000;-123.63422;-123.23671;46.97797;47.46268
12040500;-124.36308;-123.55616;47.46979;47.81885
12041200;-124.30973;-123.54812;47.70057;47.92885
12043000;-124.45768;-123.95321;47.87952;48.07214
12048000;-123.40287;-122.97844;47.74437;48.05104
12054000;-123.39714;-122.96199;47.58557;47.73453
12056500;-123.52438;-123.24892;47.46102;47.65923
12073500;-122.74615;-122.66454;47.36612;47.48967
12082500;-122.13205;-121.69047;46.63164;46.87188
12092000;-122.06048;-121.74045;46.76218;46.97803
12095000;-122.19126;-121.81082;46.98751;47.18369
12114500;-121.58195;-121.41047;47.24548;47.37727
12115000;-121.67768;-121.41047;47.24548;47.40978
12115500;-121.71519;-121.56585;47.26762;47.39532
12117000;-121.87489;-121.69805;47.30421;47.41756
12141300;-121.71228;-121.21177;47.39737;47.62922
12143600;-121.73971;-121.35852;47.32862;47.48424
12144000;-121.8284;-121.35852;47.32862;47.52494
12145500;-121.84671;-121.80622;47.46312;47.50346
12147500;-121.82487;-121.52488;47.68534;47.81099
12147600;-121.63304;-121.49872;47.66861;47.74509
12167000;-122.01899;-121.97849;48.20831;48.24865
12175500;-121.09537;-121.04681;48.6552;48.69809
12178100;-121.31256;-121.12024;48.54413;48.69131
12186000;-121.54753;-121.09666;47.93744;48.1938
12189500;-121.70452;-120.88644;47.93744;48.46182
12358500;-114.11742;-112.85886;47.88752;48.87593
12374250;-114.85913;-114.67187;47.73869;47.85834
12375900;-114.04808;-113.88895;47.46997;47.55992
12377150;-114.00552;-113.86198;47.2823;47.38873
12381400;-113.73191;-113.69146;47.06247;47.10278
12383500;-113.99729;-113.86492;47.09018;47.17771
12388400;-114.50543;-114.32196;47.16678;47.32959
12390700;-115.77607;-115.24196;47.44552;47.65683
12411000;-116.46627;-115.95247;47.66627;48.08909
12414500;-116.33252;-115.04932;46.92286;47.45555
12447390;-120.26525;-120.09573;48.79474;48.9496
12451000;-121.09164;-120.60869;48.17744;48.57082
12488500;-121.54283;-121.13773;46.79174;47.01341
13011500;-110.542;-110.49952;43.82486;43.86701
13011900;-110.47591;-109.79365;43.69689;44.02924
13018300;-110.74075;-110.58406;43.39177;43.48582
13023000;-111.0123;-110.96654;43.12293;43.1667
13083000;-114.23589;-113.93992;42.04792;42.26172
13161500;-115.84588;-115.33629;41.37729;41.97525
13235000;-115.65585;-114.94761;43.92176;44.3716
13240000;-116.02422;-115.84276;44.84736;45.06118
13310700;-115.92251;-115.56287;44.44531;45.01953
13313000;-115.50478;-115.46433;44.53906;44.57938
13331500;-117.78849;-117.30542;45.08878;45.64421
13337000;-115.78544;-114.30029;46.11586;46.76083
13338500;-115.32628;-115.28582;45.83884;45.87916
13340000;-114.84867;-114.80822;45.50297;45.54329
13340600;-115.78668;-114.74115;46.39122;47.03461
14020000;-118.28578;-118.24531;45.58506;45.62538
14092750;-121.82354;-121.56427;44.69567;44.80127
14096850;-121.32627;-121.2858;45.00789;45.04822
14137000;-121.78728;-121.74682;45.16208;45.20241
14138800;-121.94779;-121.80513;45.39243;45.48665
14138870;-122.05519;-121.92562;45.43261;45.51121
14138900;-122.07019;-121.95194;45.46747;45.58949
14139800;-122.13958;-121.90733;45.40415;45.48652
14141500;-122.20076;-121.89574;45.37137;45.45685
14154500;-122.92705;-122.50869;43.49474;43.81764
14158500;-121.93187;-121.89068;44.43715;44.47763
14158790;-122.14944;-122.00541;44.30537;44.4187
14166500;-123.36264;-123.32218;44.12895;44.16929
14182500;-122.25803;-122.21756;44.76196;44.8023
14185000;-122.52578;-122.09866;44.24688;44.50747
14185900;-122.50746;-122.09391;44.50329;44.68899
14187000;-122.66407;-122.39484;44.24701;44.41028
14216500;-122.20071;-121.83728;46.04956;46.34635
14222500;-122.50582;-122.0597;45.69015;45.90968
14236200;-122.49777;-122.05079;46.48831;46.71006
14301000;-123.06785;-123.02738;45.79894;45.83928
14303200;-123.5788;-123.48385;45.29031;45.35635
14305500;-123.91255;-123.54069;44.65498;44.9952
14306340;-123.65802;-123.55162;44.22173;44.3001
14306500;-123.95034;-123.40778;44.17712;44.53134
14308990;-123.16697;-122.89763;42.70205;42.88641
14309500;-123.90034;-123.57884;42.72733;42.92345
14316700;-122.86244;-122.42946;43.31193;43.61719
14325000;-124.19337;-123.835;42.64353;42.9258
14362250;-123.19999;-123.03633;42.115;42.21624
14400000;-124.26228;-123.7706;42.08401;42.38178
