usgs_id	  10-85_slope_ftpmi	  upstream_len_mi	  elev_ft	  storage_pct	  lake_area_pct	  forest_pct	  glacier_pct	  infil_index	  mean_precip_in	  2yr_precip_in	  mean_min_jan_temp_f 
08179000	  16.20	  57.00	  1514.00	  0.20	  -99.00	  89.00	  -99.00	  -99.00	  30.00	  3.80	  37.00
08186500	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08189500	  5.36	  73.10	  236.00	  0.40	  -99.00	  73.00	  -99.00	  -99.00	  32.00	  4.30	  45.00
08190000	  14.80	  61.00	  1869.00	  0.60	  -99.00	  90.00	  -99.00	  -99.00	  23.00	  3.60	  39.00
08190500	  13.80	  62.80	  2020.00	  0.40	  -99.00	  19.00	  -99.00	  -99.00	  22.50	  3.50	  39.00
08192000	  10.40	  116.00	  1790.00	  0.40	  -99.00	  44.00	  -99.00	  -99.00	  22.50	  3.60	  39.00
08194200	  6.94	  41.10	  520.00	  0.20	  -99.00	  23.00	  -99.00	  -99.00	  21.50	  3.90	  43.00
08194500	  6.01	  282.00	  904.00	  0.60	  -99.00	  56.00	  -99.00	  -99.00	  24.00	  3.80	  40.00
08195000	  20.00	  43.50	  1910.00	  0.40	  -99.00	  95.00	  -99.00	  -99.00	  24.00	  3.70	  38.00
08196000	  25.00	  32.30	  1905.00	  0.40	  -99.00	  93.00	  -99.00	  -99.00	  24.00	  3.70	  39.00
08198000	  22.50	  32.80	  1706.00	  0.40	  -99.00	  69.00	  -99.00	  -99.00	  25.00	  3.70	  38.00
08198500	  18.20	  51.20	  1592.00	  0.40	  -99.00	  68.00	  -99.00	  -99.00	  24.50	  3.80	  39.00
08200700	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08202700	  20.32	  39.10	  1395.00	  0.00	  -99.00	  78.00	  -99.00	  -99.00	  25.00	  3.80	  39.00
08205500	  11.50	  129.00	  1107.00	  0.00	  -99.00	  79.00	  -99.00	  -99.00	  23.00	  3.80	  40.00
08206700	  7.10	  89.80	  616.00	  0.20	  -99.00	  75.00	  -99.00	  -99.00	  22.00	  3.90	  44.00
08210000	  5.45	  312.00	  844.00	  0.00	  -99.00	  69.00	  -99.00	  -99.00	  25.00	  3.90	  41.00
08212400	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08263000	  704.00	  5.40	  11500.00	  0.00	  0.00	  96.00	  -99.00	  7.00	  24.00	  1.30	  4.00
08267000	  104.00	  33.40	  9500.00	  0.08	  0.08	  90.00	  -99.00	  7.00	  22.00	  1.20	  5.00
08267500	  336.00	  11.70	  10100.00	  0.06	  0.06	  70.00	  -99.00	  7.00	  23.00	  1.40	  8.00
08269000	  210.00	  15.30	  9500.00	  0.09	  0.09	  98.00	  -99.00	  7.00	  25.00	  1.40	  8.00
08271000	  406.00	  8.80	  10790.00	  0.12	  0.12	  60.00	  -99.00	  7.50	  24.00	  1.50	  8.00
08275500	  194.00	  19.00	  9400.00	  0.02	  0.02	  95.00	  -99.00	  7.50	  22.00	  1.30	  7.00
08275600	  168.00	  16.80	  9350.00	  0.00	  0.00	  98.00	  -99.00	  7.50	  22.00	  1.25	  6.00
08276500	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08279000	  113.00	  39.60	  8980.00	  0.02	  0.02	  96.00	  -99.00	  7.50	  21.00	  1.11	  10.00
08283500	  79.80	  33.00	  9270.00	  0.18	  0.18	  60.00	  -99.00	  8.00	  22.00	  1.20	  3.00
08288000	  166.00	  17.80	  8700.00	  0.10	  0.10	  95.00	  -99.00	  8.50	  22.00	  1.15	  6.00
08289000	  104.00	  35.90	  8640.00	  0.06	  0.06	  80.00	  -99.00	  8.00	  16.00	  1.16	  6.00
08291000	  320.00	  16.70	  9190.00	  0.00	  0.00	  95.00	  -99.00	  8.00	  20.00	  1.35	  14.00
08324000	  140.00	  36.30	  8400.00	  0.07	  0.07	  95.00	  -99.00	  8.50	  23.00	  1.38	  6.00
08374000	  30.33	  91.00	  4626.00	  0.00	  -99.00	  2.00	  -99.00	  -99.00	  9.50	  2.00	  31.00
08377900	  235.00	  15.70	  10260.00	  0.02	  -99.00	  98.00	  -99.00	  -99.00	  29.00	  1.90	  13.00
08378500	  144.00	  23.20	  9910.00	  0.06	  0.06	  95.00	  -99.00	  7.50	  24.00	  1.60	  14.00
08380500	  196.00	  16.30	  7810.00	  0.00	  0.00	  90.00	  -99.00	  7.50	  22.00	  2.10	  15.00
08387000	  252.00	  16.70	  9060.00	  0.07	  0.07	  94.00	  -99.00	  6.00	  25.00	  1.80	  22.00
08405500	  47.60	  56.70	  4540.00	  0.05	  0.05	  1.50	  -99.00	  8.50	  15.00	  2.00	  28.00
08408500	  39.50	  60.20	  4160.00	  0.05	  0.05	  3.00	  -99.00	  8.50	  14.00	  2.00	  27.00
08431700	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
08449400	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00	  -99.00
09081600	  140.00	  31.00	  10200.00	  1.00	  1.00	  60.00	  -99.00	  -99.00	  33.00	  1.40	  1.00
09085000	  62.00	  65.00	  9800.00	  1.00	  1.00	  70.00	  -99.00	  -99.00	  27.00	  1.40	  5.00
09110000	  41.00	  44.00	  10900.00	  2.00	  2.00	  75.00	  -99.00	  -99.00	  27.00	  1.40	  -8.00
09112500	  52.00	  36.00	  10200.00	  0.00	  0.00	  60.00	  -99.00	  -99.00	  31.00	  1.50	  -4.00
09115500	  120.00	  20.00	  10100.00	  0.00	  0.00	  80.00	  -99.00	  -99.00	  23.00	  1.30	  -6.00
