OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,RFC,HUC,CWA,FCST_GP,CH5_ID,TYPE,DESCRIPTION,ATTRIBUTE,NUMBER_ZONE,ZONE_1_MIN_,ZONE_2_MIN_,ZONE_3_MIN_,ZONE_4_MIN_,ZONE_5_MIN_,ZONE_6_MIN_,ZONE_1_SHEF,ZONE_2_SHEF,ZONE_3_SHEF,ZONE_4_SHEF,ZONE_5_SHEF,ZONE_6_SHEF
"0","498",LSRC2,-107.1834367275,-106.8012112427,40.8135807774,41.1174675073,CBRFC,"14050003",gjt,whyam,LSRC2,d,LITTLE SNAKE - SLATER- NR,,"2","0","2590","0","0","0","0",LSRC2HLF,LSRC2HUF,,,,
"0","499",LTAW4,-110.9253097224,-109.6211193000,40.8616091307,42.0628844681,CBRFC,"14040107",slc,green,LTAW4,f,BLACKS FORK - LITTLE AMERICA- NR,,"3","2133","2286","2590","0","0","0",LTAW4LLF,LTAW4LMF,LTAW4LUF,,,
"0","504",LVCN2,-115.2601594892,-115.1003970652,36.2366559313,36.3355145043,CBRFC,"15010015",vef,mudlv,LVCN2,d,LAS VEGAS WASH - CRAIG RD,,"1","0","0","0","0","0","0",LVCN2HLH,,,,,
"0","506",LVPN2,-115.0935048817,-114.9656825750,35.9878857333,36.1461275291,CBRFC,"15010015",vef,mudlv,LVPN2,d,LAS VEGAS WASH - PABCO RD- HENDERSON-NR,,"2","0","488","0","0","0","0",LVPN2LLH,LVPN2LUH,,,,
"0","507",LWCN2,-115.0830786429,-114.9963809286,36.1312957631,36.1728948238,CBRFC,"15010015",vef,mudlv,LWCN2,d,LAS VEGAS WASH - FLAMINGO WASH- BLO,,"1","0","0","0","0","0","0",LWCN2LLH,,,,,
"0","508",LYMA3,-109.4042383480,-109.1222693768,34.2424269321,34.3855460096,CBRFC,"15020002",fgz,litcol,LYMA3,d,LITTLE COLORADO - LYMAN LAKE- ST. JOHNS- NR,,"1","0","0","0","0","0","0",LYMA3RLH,,,,,
"0","509",LZRC2,-107.8338059117,-107.3844674673,38.6997068026,39.0889849026,CBRFC,"14020004",gjt,gun,LZRC2,f,NORTH FORK GUNNISON - ABV MOUTH NR LAZEAR,,"3","0","2438","2895","0","0","0",LZRC2LLF,LZRC2LMF,LZRC2LUF,,,
"0","510",MAAU1,-111.5849143418,-111.4425858063,39.2084173947,39.2964985857,CBRFC,"16030004",slc,sevier,MAAU1,d,MANTI CK - MANTI- NR- DUGWAY CK- BLO,,"2","0","2590","0","0","0","0",MAAU1HLH,MAAU1HUH,,,,
"0","511",MAFA3,-112.4461135231,-112.2444520523,33.6077083880,33.9369909487,CBRFC,"15070102",slc,aguafria,MAFA3,d,AGUA FRIA - GRAND AVE,,"2","0","609","0","0","0","0",MAFA3LLH,MAFA3LUH,,,,
"0","513",MAOA3,-112.0371020221,-111.9472067787,33.4894925848,33.5534555577,CBRFC,"15060106",slc,aguafria,MAOA3,d,ACDC - 14TH STREET,,"1","0","0","0","0","0","0",MAOA3HLH,,,,,
"0","514",MBLA3,-112.2531365701,-112.1802245915,33.6374156361,33.7513493572,CBRFC,"15070102",slc,aguafria,MBLA3,d,NEW - BELL ROAD,,"2","0","426","0","0","0","0",MBLA3LLH,MBLA3LUH,,,,
"0","515",MBLC2,-108.1102856997,-107.5276284701,40.1098110613,40.7710145594,CBRFC,"14050002",gjt,whyam,MBLC2,f,YAMPA - MAYBELL- NR,,"3","0","2286","2590","0","0","0",MBLC2LLF,MBLC2LMF,MBLC2LUF,,,
"0","518",MCAU1,-111.2227661070,-111.1199148395,39.5959045856,39.7216386002,CBRFC,"14060007",slc,duchpr,MCAU1,d,MUD CK - SCOFIELD- WINTER QUARTERS- BLO,,"2","0","2590","0","0","0","0",MCAU1HLF,MCAU1HUF,,,,
"0","519",MCCN5,-108.6869745362,-108.4299941629,33.1579927317,33.3066649654,CBRFC,"15040001",slc,upgila,MCCN5,d,MOGOLLON CK - CLIFF- NR,,"3","0","2133","2590","0","0","0",MCCN5HLH,MCCN5HMH,MCCN5HUH,,,
"0","520",MCEC2,-109.0157177607,-108.3867042858,37.2422642153,37.5513124484,CBRFC,"14080202",gjt,sanjuan,MCEC2,d,MCELMO CK - CO-UT BORDER- NR,,"2","0","2133","0","0","0","0",MCEC2HLF,MCEC2HUF,,,,
"0","523",MCJU1,-111.9157924865,-111.7598808672,40.6744245876,40.7227469568,CBRFC,"16020204",slc,sixcks,MCJU1,d,MILL CK - 460 WEST,,"1","0","0","0","0","0","0",MCJU1LLF,,,,,
"0","524",MCLU1,-111.5587536628,-111.4985853995,40.6094291615,40.6878743066,CBRFC,"16020102",slc,weber,MCLU1,f,MCLEOD CK - PARK CITY- NR,,"2","0","2438","0","0","0","0",MCLU1HLF,MCLU1HUF,,,,
"0","525",MCMA3,-112.6434293758,-112.3306997886,33.5671065802,33.9997577827,CBRFC,"15070102",slc,aguafria,MCMA3,d,MCMICKEN DAM NORTH,,"2","0","533","0","0","0","0",MCMA3HLH,MCMA3HUH,,,,
"0","526",MCVA3,-112.1167479486,-111.9947834756,33.5837161484,33.7223692761,CBRFC,"15060106",slc,aguafria,MCVA3,d,CAVE CK - CACTUS ROAD,,"2","0","457","0","0","0","0",MCVA3LLH,MCVA3LUH,,,,
"0","527",MCWW4,-110.6781870297,-110.5499102951,40.9391839517,41.0283822815,CBRFC,"14040107",slc,green,MCWW4,d,BLACKS FORK - MEEKS CABIN DAM,,"1","0","0","0","0","0","0",MCWW4RLF,,,,,
"0","528",MCZA3,-112.0100412740,-111.8285196978,33.7849764198,33.9250583900,CBRFC,"15060106",slc,aguafria,MCZA3,d,CAVE CK - CAVE CREEK RD- NR,,"2","0","762","0","0","0","0",MCZA3LLH,MCZA3LUH,,,,
"0","529",MDCU1,-111.5163886249,-111.2093439292,38.9485868506,39.1270454153,CBRFC,"14070002",slc,sanrafdd,MDCU1,d,MUDDY CK - EMERY- NR,,"3","0","2590","3048","0","0","0",MDCU1HLF,MDCU1HMF,MDCU1HUF,,,
"0","530",MDEA3,-112.4754753285,-112.3162705639,33.5121567087,33.6842485696,CBRFC,"15070102",slc,aguafria,MDEA3,d,DYSART - EL MIRAGE,,"2","0","362","0","0","0","0",MDEA3HLH,MDEA3HUH,,,,
"0","531",MEXC1,-115.3359660600,-113.4050531660,32.3456647102,34.3458769551,CBRFC,,vef,havasu,MEXC1,,,,"1","0","0","0","0","0","0",MEXC1XLH,,,,,
"0","534",MHFA3,-112.1556339137,-112.0085522102,33.5299208918,33.6222970730,CBRFC,"15060106",slc,aguafria,MHFA3,d,ACDC - 43RD AVENUE,,"1","0","0","0","0","0","0",MHFA3LLH,,,,,
"0","535",MHUA3,-112.8756930424,-112.5459215236,33.8919551222,34.0804589454,CBRFC,"15070103",fgz,hasscent,MHUA3,d,HASSAYAMPA - US-60,,"1","0","0","0","0","0","0",MHUA3LLH,,,,,
"0","536",MIFU1,-111.3116687360,-111.2372452798,39.4935381988,39.5487083790,CBRFC,"14060009",slc,sanrafdd,MIFU1,d,MILLER FLAT RESERVOIR,,"1","0","0","0","0","0","0",MIFU1HLF,,,,,
"0","537",MILU1,-111.7828783457,-111.5997386324,40.6585174389,40.7199027768,CBRFC,"16020204",slc,sixcks,MILU1,f,MILL CK - SALT LAKE CITY- NR,,"3","0","2133","2590","0","0","0",MILU1HLF,MILU1HMF,MILU1HUF,,,
"0","538",MLSU1,-111.2909517181,-111.1799300630,39.0379790494,39.1325977519,CBRFC,"14060009",slc,sanrafdd,MLSU1,d,MILLSITE DAM,,"1","0","0","0","0","0","0",MLSU1RLF,,,,,
"0","539",MNRA3,-112.3045138311,-112.0555757705,33.5365232376,33.7451344640,CBRFC,"15070102",slc,aguafria,MNRA3,d,NEW - GLENDALE AVE,,"2","0","365","0","0","0","0",MNRA3LLH,MNRA3LUH,,,,
"0","540",MNRC2,-108.2662141809,-108.0733011773,37.3363374957,37.4973598653,CBRFC,"14080107",gjt,sanjuan,MNRC2,f,MANCOS - MANCOS- NR,,"3","0","2590","3200","0","0","0",MNRC2HLF,MNRC2HMF,MNRC2HUF,,,
"0","542",MOAN2,-115.3509652458,-114.5412138163,36.5728715855,37.4765586529,CBRFC,"15010012",vef,mudlv,MOAN2,d,MUDDY - MOAPA- NR,,"3","0","762","1219","0","0","0",MOAN2HLH,MOAN2HMH,MOAN2HUH,,,
"0","543",MOEA3,-111.2171071579,-110.1983046225,35.8954818483,36.7999745482,CBRFC,"15020018",fgz,litcol,MOEA3,d,MOENKOPI WASH - MOENKOPI- AT,,"3","0","1828","2133","0","0","0",MOEA3HLH,MOEA3HMH,MOEA3HUH,,,
"0","548",MOHA3,-114.9108477297,-114.4012393188,35.1952481248,36.0434119597,CBRFC,"15030101",vef,havasu,MOHA3,d,LAKE MOHAVE - DAVIS DAM,,"3","0","457","762","0","0","0",MOHA3LLH,MOHA3LMH,MOHA3LUH,,,
"0","549",MPHC2,-108.6089711657,-108.2593700975,37.4402287821,37.8155495894,CBRFC,"14030002",gjt,dol,MPHC2,d,DOLORES - MCPHEE RES,,"2","0","2590","0","0","0","0",MPHC2LLF,MPHC2LUF,,,,
"0","554",MPSC2,-107.5429387561,-107.3027232619,38.0710224930,38.7112920206,CBRFC,"14020002",gjt,gun,MPSC2,d,GUNNISON - MORROW POINT RES,,"3","0","2895","3352","0","0","0",MPSC2LLF,MPSC2LMF,MPSC2LUF,,,
"0","555",MRTC2,-108.7532432979,-108.1455215018,36.9897124160,37.4991560569,CBRFC,"14080107",gjt,sanjuan,MRTC2,d,MANCOS - TOWAOC- NR,,"2","0","2133","0","0","0","0",MRTC2LLF,MRTC2LUF,,,,
"0","556",MSAA3,-112.1253694176,-111.7686478725,32.6170423854,32.8781124177,CBRFC,"15050306",twc,santacrz,MSAA3,d,SANTA ROSA WASH - SR-84,,"2","0","478","0","0","0","0",MSAA3LLH,MSAA3LUH,,,,
"0","561",MSXA3,-112.2197833302,-112.0544098453,33.5843060902,33.7104067116,CBRFC,"15070102",slc,aguafria,MSXA3,d,ACDC - 67TH AVE,,"2","0","411","0","0","0","0",MSXA3LLH,MSXA3LUH,,,,
"0","562",MUDN2,-114.8894920645,-114.4339236550,36.2865947841,36.9646009603,CBRFC,"15010012",vef,mudlv,MUDN2,f,MUDDY - GLENDALE- NR,,"3","0","609","914","0","0","0",MUDN2LLH,MUDN2LMH,MUDN2LUH,,,
"0","563",MVDN2,-114.2376341247,-114.0843657568,37.4121995043,37.5028609761,CBRFC,"15010013",vef,mudlv,MVDN2,d,MATHEW VLY DAM-CALIENTE 20SE,,"2","0","1828","0","0","0","0",MVDN2HLH,MVDN2HUH,,,,
"0","564",MVEN2,-114.3711045234,-114.0431598373,37.9915497343,38.3832638107,CBRFC,"15010013",vef,mudlv,MVEN2,d,MEADOW VALLEY WASH - EAGLE CANYON,,"2","0","2133","0","0","0","0",MVEN2HLH,MVEN2HUH,,,,
"0","565",MVRN2,-114.8109418249,-114.2658677843,36.8327330924,37.5816550278,CBRFC,"15010013",vef,mudlv,MVRN2,d,MEADOW VALLEY WASH - ROX- NR,,"3","0","1066","1524","0","0","0",MVRN2LLH,MVRN2LMH,MVRN2LUH,,,
"0","566",MVYN2,-114.7193481398,-114.0366901990,37.3893097389,38.2981440596,CBRFC,"15010013",vef,mudlv,MVYN2,d,MEADOW VALLEY WASH - CALIENTE- NR,,"3","0","1706","1889","0","0","0",MVYN2LLH,MVYN2LMH,MVYN2LUH,,,
"0","567",MYRU1,-110.7521953955,-110.0625762806,39.8674799938,40.5833116653,CBRFC,"14060003",slc,duchpr,MYRU1,f,DUCHESNE - MYTON,,"3","0","2133","2590","0","0","0",MYRU1LLF,MYRU1LMF,MYRU1LUF,,,
"0","568",NAVC2,-106.7513491856,-106.5881091503,36.9850195607,37.2571207635,CBRFC,"14080101",gjt,sanjuan,NAVC2,d,NAVAJO - CHROMO- NR- OSO DIV DAM- BLO,,"3","0","2895","3352","0","0","0",NAVC2HLF,NAVC2HMF,NAVC2HUF,,,
"0","569",NEUU1,-110.3798785569,-110.0911359376,40.5803336870,40.8353259438,CBRFC,"14060003",slc,duchpr,NEUU1,f,UINTA - NEOLA- NR,,"2","0","3352","0","0","0","0",NEUU1HLF,NEUU1HUF,,,,
"0","571",NFVU1,-113.0809561247,-112.7094934090,37.1866517132,37.5972595609,CBRFC,"15010008",slc,virgin,NFVU1,f,NORTH FORK VIRGIN - SPRINGDALE- NR,,"3","0","2133","2590","0","0","0",NFVU1HLH,NFVU1HMH,NFVU1HUH,,,
"0","573",NRDA3,-112.2551113453,-112.0860888591,33.7336457081,33.9854884409,CBRFC,"15070102",slc,aguafria,NRDA3,d,NEW RIVER DAM,,"2","0","579","0","0","0","0",NRDA3LLH,NRDA3LUH,,,,
"0","574",NVRN5,-107.6666952392,-106.9271978208,36.6475596495,37.1997345711,CBRFC,"14080101",gjt,sanjuan,NVRN5,d,SAN JUAN - NAVAJO RES- ARCHULETA- NR,,"2","0","2133","0","0","0","0",NVRN5LLF,NVRN5LUF,,,,
"0","575",NWRA3,-112.0994358300,-111.8749586143,33.9349108811,34.0937799474,CBRFC,"15070102",slc,aguafria,NWRA3,d,NEW - ROCK SPGS- NR,,"2","0","1219","0","0","0","0",NWRA3HLH,NWRA3HUH,,,,
"0","576",OACA3,-111.9195081832,-111.7108639077,34.7640417643,35.0318378237,CBRFC,"15060202",fgz,verde,OACA3,d,OAK CK - CORNVILLE- NR,,"2","0","1676","0","0","0","0",OACA3LLH,OACA3LUH,,,,
"0","577",OAKA3,-111.9206495019,-111.5106851385,34.8550711917,35.1515541433,CBRFC,"15060202",fgz,verde,OAKA3,f,OAK CK - SEDONA,,"3","0","1981","2133","0","0","0",OAKA3HLH,OAKA3HMH,OAKA3HUH,,,
