OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_,FCSTGROUP,NWSID,AREA,DESCRIPT,TVA_NUM
"0","379",BKNM6,-89.7295833333,-89.1962500000,31.0037500000,31.4954166666,FGPASMS,BKNM6,353.7295127450,BLACK CR NR BROOKLYN,"-999"
"0","380",HCOL1,-92.9879166666,-92.7295833333,32.5704166666,32.8079166666,FGLOUALA,HCOL1,129.3093832290,B.DARBONNE NR HICO,"-999"
"0","381",LENL1,-93.8754166666,-93.3379166666,31.8204166666,32.4954166666,FGLREDLA,LENL1,537.9192671600,B.PIERRE/LAKE END,"-999"
"0","382",EUGA4,-91.5254166666,-91.1029594499,33.0954166666,34.0641458333,FGLOUALA,EUGA4,510.0674574210,B.MACON NR EUDORA,"-999"
"0","383",WOOM6,-91.3420833333,-91.0212500000,31.0704166666,31.2704166666,FGBIGBMS,WOOM6,184.3606473700,BUFFALO NR WOODVILLE,"-999"
"0","384",CROM6,-90.1203730270,-89.9004166666,34.1079166666,34.2601074731,FGUYAZMS,CROM6,67.7637807230,YOCONA/PQF MOUTH,"-999"
"0","385",GLML1,-93.2170833333,-92.6504166666,30.9954166666,31.4370833333,FGCALCLA,GLML1,491.3883259470,CALCASIEU @ GLENMORA,"-999"
"0","386",REDM6,-89.5462500000,-89.1212500000,30.7787500000,31.0704166666,FGPASMS,REDM6,227.7213372630,RED CR @ US HWY 49,"-999"
"0","387",CSHL1,-93.7795833333,-93.3254166666,31.9912500000,32.7579166666,FGLREDLA,CSHL1,361.4245114580,RED @ COUSHATTA,"-999"
"0","388",SUNM6,-90.7420833333,-90.5045833333,33.5454166666,33.8495833333,FGLYAZMS,SUNM6,176.0383453530,B.SUNFL-ER/SUNFLOWER,"-999"
"0","389",BRNL1,-93.1462500000,-92.6504166666,32.7329166666,33.0079166666,FGLOUALA,BRNL1,182.6912359340,MF DARBONNE/BERNICE,"-999"
"0","390",GREM6,-90.2962500000,-89.9337500000,33.4610111392,33.6745833333,FGLYAZMS,GREM6,171.1398739820,YAZOO @ GREENWOOD,"-999"
"0","391",RNTM6,-89.2837500000,-89.0795833333,31.3204166666,31.7079166666,FGPASMS,RNTM6,186.0696843020,TALLAHALA/RUNNELST-N,"-999"
"0","392",BSTL1,-91.5238016222,-91.2504166666,33.0013852769,33.5995833355,FGLOUALA,BSTL1,351.5489139700,BOEUF/AR-LA STATE LN,"-999"
"0","395",JFET2,-94.5140918395,-94.4712500000,32.7454166666,32.7725003297,FGUREDLA,JFET2,0.4162507620,BIG CYPRESS/JEFFRSON,"-999"
"0","397",BHRM6,-89.1462500000,-88.9045833333,31.3995833333,32.0120833333,FGPASMS,BHRM6,337.9118636080,BOGUE HOMO/RICHTON,"-999"
"0","398",BCDA1,-88.3795833333,-88.2295833333,30.7079166666,30.8954166666,FGPASMS,BCDA1,70.5460361860,BIG CREEK/BC LAKE DM,"-999"
"0","399",BELM6,-90.5462500000,-89.8379166666,33.1454166666,33.5704166666,FGLYAZMS,BELM6,581.1290701190,YAZOO @ BELZONI,"-999"
"0","400",WBPM6,-90.9004166666,-90.3337500000,31.6245833333,32.2162500000,FGBIGBMS,WBPM6,662.4826221200,B.PIERRE NR WILLOWS,"-999"
"0","401",LBGM6,-91.1650435812,-90.6837500000,33.3954166666,34.0245833333,FGLYAZMS,LBGM6,624.4884642090,BOGUE PHALIA/LELAND,"-999"
"0","402",SNFM6,-90.5379166666,-90.2670833333,33.5162500000,33.6870833333,FGLYAZMS,SNFM6,119.8508669290,QUIVER NR SUNFLOWER,"-999"
