01614500 CONOCOCHEAGUE C AT FAIRVIEW, MD                  02070004      494 DE  0 MD MD 043 394257N 0774928W  391.85   0
01617800 MARSH RN AT GRIMES, MD                           02070004     18.9 DE  0 MD MD 043 393053N 0774638W  354.72   0
01631000 S F SHENANDOAH RIVER AT FRONT ROYAL, VA          02070005     1642 DE  7 VA VA 187 385450N 0781240W  469.38   0
01632000 N F SHENANDOAH RIVER AT COOTES STORE, VA         02070006      210 DE  0 VA VA 165 383813N 0785111W 1051.80   0
01634000 N F SHENANDOAH RIVER NEAR STRASBURG, VA          02070006      768 DE  7 VA VA 187 385836N 0782011W  494.03   0
01634500 CEDAR CREEK NEAR WINCHESTER, VA                  02070006      103 DE  2 VA VA 069 390452N 0781947W  647.09   0
01637500 CATOCTIN C NR MIDDLETOWN, MD                     02070008     66.9 DE  0 MD MD 021 392535N 0773325W  385.00   0
01639000 MONOCACY R AT BRIDGEPORT, MD                     02070009      173 DE  0 MD MD 021 394043N 0771406W  340.83   0
01639500 BIG PIPE C AT BRUCEVILLE, MD                     02070009      102 DE  5 MD MD 013 393645N 0771410W  340.00   0
01640500 OWENS C AT LANTZ, MD                             02070009     5.93 DE  0 MD MD 021 394036N 0772750W  965.00   0
01641500 FISHING C NR LEWISTOWN, MD                       02070009     7.29 DE  0 MD MD 021 393135N 0772800W  735.00   0
01643500 BENNETT C AT PARK MILLS, MD                      02070009     62.8 DE  0 MD MD 021 391740N 0772430W  240.00   0
01644000 GOOSE CREEK NEAR LEESBURG, VA                    02070008      332 DE  2 VA VA 107 390110N 0773440W  248.93   0
01645000 SENECA C AT DAWSONVILLE, MD                      02070008      101 DP  2 MD MD 031 390741N 0772013W  214.02   0  C
01646502 POTOMAC R (ADJUSTED) NR WASH, DC                 02070008    11560 DE  4 MD MD 031 385658N 0770740W   37.95   0  C
01653600 PISCATAWAY C AT PISCATAWAY, MD                   02070010     39.5 DE  0 MD MD 033 384220N 0765800W   10.00   0
