StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09074800,Ref,TRUE,82.8,3.4,39.031782,-106.80642,91.17,0.03,52.9,231,190,118,12.4,7.2,337.5,67.2,0.203,7.3,9.17,4.7,445.5,41.58,27.31,0.01,28.42,16.79,40.45,29.38,13.38,0.08,6.08,1.39,0.84,5.51,50.6,59.5,26.35,15.54,34.63,49.82,0.13,27.12,3514,0.477,39.5,24.1,0.913,0.409,2.47,29.1,27.22,14.04,20.98,4.049625285,20.54,1557
09075700,Ref,TRUE,92.1,2.64,39.068789,-106.940175,110.61,0.48,51.9,232.7,188.6,134.7,14.9,8.2,345.2,65.9,0.242,6.5,9.46,2.4,553,33.76,34,0.02,28.76,17.7,39.35,29.1,13.85,0.08,6.28,1.39,0.85,5.48,50.52,59.2,26.1,15.32,34.55,50.13,0.12,36.73,3498,0.514,50.6,12.5,0.976,0.217,3.47,37.96,32.22,15.13,25.59,4.091687697,20.59,1606
09081600,Ref,TRUE,432.9,1.69,39.105979,-107.187291,100.4,1.99,55.8,244,175.5,121.5,13.2,7.2,384,58.4,0.195,9.5,9.63,16.5,560,59.15,12.26,2.24,21.36,15.6,40.32,34.61,9.47,0.1,3.14,1.37,0.91,5.89,48.86,63.37,36.04,21.16,38.75,40.09,0.18,30.48,3129,0.47,41.1,305.2,0.576,-0.817,4.22,31.89,28.5,15.02,25.03,3.716337814,21.19,2170
09107000,Ref,TRUE,331.6,2.12,39.043132,-106.750368,67.67,0.2,52,233.5,179.1,105.6,11.1,6.5,346.2,61.6,0.127,8.8,10.22,12.9,268,54.2,11.18,0.22,27.79,10.88,56.81,20.07,12.24,0.09,6.76,1.47,0.56,5.89,50.99,66.16,25.33,14.04,29.76,56.19,0.15,25.62,3314,0.369,23.2,184.7,-0.997,-0.083,6.17,19.29,19.86,13.11,15.45,3.845726008,21.09,1265
09132940,Ref,FALSE,126,2.77,39.034423,-107.56943,69.07,2.91,57.8,255.2,167.4,100.2,11,5.2,408.1,51.3,0.084,10.3,10.37,110.9,367.1,92.86,0.24,2.01,4.01,0.67,35.58,58.61,5.14,0.13,0.92,1.33,0.88,5.95,56.72,79.91,56.27,33.32,40.12,26.55,0.23,27.9,2723,0.489,15.4,107.6,-0.302,0.953,0.38,18.79,18.55,14.27,17.5,3.203206032,21.88,1408
09182000,Ref,FALSE,22.6,2.7,38.571411,-109.241328,77.96,5.48,52,267.2,155.2,79.7,8.7,5,483.9,46.4,0.14,0,8.77,9.2,372.8,90.56,3.05,3.1,3.16,10.98,59.45,21.3,8.27,0.11,3.48,1.38,1.7,6,53.37,67.53,37.34,18.98,36.91,44.11,0.17,19.57,2784,0.405,34.1,336.1,0.914,-0.405,0.12,21.56,22.18,13.46,20.57,2.655122182,20.87,1603
09183000,Ref,FALSE,420.1,2.07,38.695463,-109.702203,24.38,12.05,53.1,289.8,115.5,52.4,5.8,3,780.1,17.1,0.06,0.7,15.17,79.2,8.8,0.51,10.97,78,9.17,0,34.25,2.28,63.46,0.12,3.8,1.43,0.44,6,34.05,91.76,45.33,14.21,36.83,48.96,0.33,8.48,1452,0.379,9.1,277.9,0.138,-0.99,0.29,4.63,6.82,5.42,7.54,3.971619363,28.49,631
09183500,Ref,TRUE,74.3,0.97,38.503892,-109.313208,66.99,6.51,52.1,270.7,149.9,75.1,8.4,4.1,523.8,35.2,0.117,0,9.43,19.3,193.7,73.1,2.83,16.72,6.12,5.74,42.31,21.48,30.48,0.1,4.38,1.38,1.25,6,42.8,72.01,36.01,18.47,33.98,47.55,0.19,19.01,2465,0.383,25.3,267.3,-0.048,-0.999,0.49,17.63,19.18,12.06,18.17,2.695997204,22.33,2136
09185500,Ref,FALSE,961.9,1.64,38.074898,-109.276318,35.81,8.48,53.2,272,144.2,62.3,7.2,2.9,599.9,26.6,0.119,3.5,11.68,476.1,19,24.29,2.22,64.26,1.28,2.98,40.44,23.25,33.33,0.13,3.42,1.36,0.48,6,37.36,88.53,49.43,18.2,39.95,41.84,0.31,14.59,2051,0.415,6.8,281.6,0.202,-0.979,0.11,7.68,8.05,8.74,11.34,3.314113317,25.29,901
09196500,Ref,TRUE,194.9,2.22,43.088589,-109.697176,93.7,-1.94,53.9,229.7,206.2,94.4,10.1,6,306.6,68.3,0.12,0,10.01,17.7,425.3,16.12,4.55,34.31,40.23,13.74,35.59,0,50.67,0.08,2.72,1.44,0.32,5.96,60,68.69,31.85,18.76,35.19,46.05,0.14,23.72,3205,0.49,31.3,227,-0.682,-0.731,3.81,24.91,30.07,15.64,23.13,4.047022774,21.44,1888
09203000,Ref,TRUE,216.3,1.71,42.742865,-109.320392,78.52,-0.66,54.9,239.2,193.3,83.2,8.9,5.3,337.6,64.7,0.157,0,10.63,30.3,299.9,51.28,1.5,32.93,12.37,5.87,72.32,0,21.8,0.07,3.26,1.43,0.32,5.98,60,69.07,28.89,15.66,31.32,53.02,0.12,24.79,2964,0.424,19,219.3,-0.774,-0.633,1.87,20.14,26.78,12.43,18.17,3.805038749,22.05,1437
09204000,Ref,FALSE,116,2.12,42.787453,-109.429613,77.57,-0.51,54.8,236.5,195.5,85.4,9,5.6,342.7,64,0.149,0,10.61,47.6,291,53.01,0.11,41.77,3.48,3.76,82.06,0,14.19,0.07,3.43,1.43,0.33,5.97,60,68.95,28.08,14.87,30.38,54.75,0.11,23.2,2968,0.474,14.1,240.7,-0.489,-0.872,1.62,20.24,25.6,12.56,18.14,3.684259298,21.97,1450
09208000,Ref,FALSE,17.1,1.24,42.529572,-110.705662,93.02,0.38,51,231.4,191.9,119.2,14.9,6,348.6,70.4,0.265,2,9.86,25.6,513.2,41.67,0,47.43,7.75,0,55,20,25,0.13,2.71,1.32,0.91,5.72,48.08,74.63,52.01,19.47,53.18,27.35,0.24,41.5,2738,0.358,24.7,200.4,-0.937,-0.349,3.09,33.2,26.2,12.16,21.3,3.775891695,22.38,447
09210500,Ref,TRUE,398.3,1.44,42.183386,-110.545501,58.17,1.45,50,237.7,183.8,86.1,9.8,5.1,388.4,57.6,0.187,1.5,11.44,37.9,166.1,27.7,0.06,48.18,22.12,3.42,49.73,19.19,27.66,0.12,2.98,1.32,0.88,5.69,46.44,69.7,47.31,18.64,51.2,30.15,0.23,25.4,2437,0.327,18.9,123,-0.544,0.839,1.68,18.08,17.74,9.25,13.57,3.398069453,22.9,965
09217900,Ref,TRUE,326.8,2.66,40.850629,-110.599218,86.04,1.05,48.9,241.4,186.9,98.6,10.5,6.3,362.2,63.6,0.118,3.7,10.11,36,511.5,61.96,17.08,13.16,6.48,6.33,37.12,27.92,28.63,0.11,3.2,1.35,0.75,5.17,46.64,71.51,41.49,19.04,40.03,40.93,0.19,66.59,3178,0.373,24.8,26.2,0.897,0.441,1.01,22.23,27.27,15.28,21.11,3.868365932,20.24,1312
09220500,Ref,FALSE,98.7,2.63,40.947226,-110.492411,72.35,1.18,48.7,238.6,187.8,85.7,9.1,6.1,366.1,59.4,0.102,5.1,10.32,71.6,412.3,82.56,0.7,9,6.01,0.18,50.01,20.83,28.98,0.13,2,1.32,0.59,5.44,50.78,79.39,50.98,23.27,43.05,33.68,0.23,46.59,2968,0.361,8.7,25.4,0.903,0.429,1.11,17.49,23.37,13.32,18.23,3.608563524,21,949
09223000,Ref,TRUE,333.2,2.36,42.234669,-110.722179,72.15,1.17,51,235.4,188,99.3,12,5.1,376.5,64.9,0.231,4.3,10.81,77.8,323.9,56.55,0,26.45,13.91,3.38,46.11,18.08,32.43,0.13,2.89,1.31,0.86,5.59,46.76,71.62,49.84,20.19,50.73,29.08,0.23,40.11,2560,0.379,18,228.1,-0.667,-0.745,3.05,24.21,21.52,10.2,16.18,3.50067352,22.71,752
09226500,Ref,FALSE,73.9,2.66,40.878764,-110.20749,75.57,0.33,49.4,242,186.9,85.2,8.8,5.9,351,60.5,0.08,2,9.84,34.9,492.2,69.31,11.17,10.89,7.65,5.52,43.47,25,26.01,0.11,2.94,1.35,0.73,5.27,48.05,70.02,40.81,19.98,39.93,40.09,0.18,49.77,3179,0.445,18.1,359.6,1,-0.008,0.87,15.16,25.59,15.98,18.85,3.926286251,20.71,1242
