StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
03049000,Ref,TRUE,357.2,1.85,40.853439,-79.695006,106.23,9.65,66.5,282.2,130.5,132.3,12.8,9,657.2,20.2,0.114,2.3,2.4,11.96,99.9,405.5,61.34,27.44,0.19,0.01,3.36,12.06,15.38,9.08,67.75,1.17,18.23,0.12,2.47,1.36,0.64,4.74,36.52,68,49.15,23.9,54.78,21.32,0.29,116.54,384,0.608,9.2,180.5,-1,-0.008,0.16,20.88,27.14,32.75,25.57,1.90854219,24.73,232
03049800,Ref,TRUE,14.9,1.95,40.54712,-79.91875,101.03,10.4,67.5,290,122,134.9,13.1,9,685.4,16.4,0.101,2,2.8,11.51,55.8,324.8,65.21,5.19,0,0,1.4,2.78,2.41,9.16,71.12,8.84,10.88,0.13,1.78,1.35,0.56,4.45,37.26,73.15,55.34,25.93,55.53,18.53,0.3,114.15,341,0.623,11.7,195.4,-0.964,-0.265,0,20.6,26.83,30.13,23.67,1.752997003,24.54,162
03050000,Ref,TRUE,487.3,1.69,38.635789,-79.992284,138.56,8.87,76.7,272.2,136.5,163.1,15.8,10.7,592.8,24.1,0.081,2.8,2.9,10.99,16.8,819.1,87.44,6.79,0.47,0.6,0.04,4.51,2.28,19.69,58.21,5.69,11.61,0.11,2.86,1.39,0.72,5.16,37.82,68.2,46.3,21.63,52.2,26.17,0.25,136.35,858,0.312,21.1,311.8,0.666,-0.746,0.57,31.25,36.25,41.11,29.96,2.26547685,21.93,856
03065000,Ref,TRUE,897.9,1.18,38.89427,-79.568951,136.46,8.27,77.6,266.8,141.3,163.2,15.8,10.8,570.9,24.3,0.072,3.2,4.3,10.82,43.7,740.2,91.06,4.23,1.64,0.06,0.03,4.04,0.2,18.19,64.81,2.45,0,0.11,3.34,1.4,0.54,5.34,39.38,67.47,45.93,20.67,54.08,25.24,0.22,136.68,1005,0.514,20.5,290.4,0.348,-0.938,0.34,31.07,36.32,39.13,30.05,2.317523172,21.97,955
03065400,Ref,TRUE,142.4,2.02,39.082198,-79.406257,141.85,8,75.4,255.4,150.5,164.3,16,10.7,560.9,25.8,0.064,4.5,3,12.99,403.2,728,66.98,4.84,5.86,0,0,4.74,0.1,13.16,47.55,34.88,0,0.12,3.12,1.39,0.73,3.74,46.24,77.45,55.67,24.18,52.86,22.95,0.29,132.58,994,0.128,9.5,288,0.308,-0.951,17.66,32.84,37.29,40.39,31.31,2.380159315,21.94,382
03066000,Ref,TRUE,222.8,2.01,39.111876,-79.402608,141.51,8.05,75.2,257.7,149.1,163.9,16.1,10.7,563.5,25.4,0.063,4.2,2.9,12.51,281.3,709,72.16,3.31,6.18,0,0,3.23,0.09,9.67,44.72,24.27,0,0.12,4.41,1.38,0.67,4.31,42.69,72.06,49.85,21.64,53.58,24.79,0.26,131.81,998,0.171,8.8,288.3,0.314,-0.95,13.54,32.85,37.27,40.16,31.24,2.343535981,21.96,397
03068800,Ref,TRUE,388.3,0.76,38.674179,-79.844307,144.2,7.91,78.4,270.1,140.3,169.8,16.8,11.1,556.2,25.4,0.066,2.8,3.3,10.75,19.3,795.6,95.96,0.14,0.15,0.02,0.21,0.11,0.03,13.31,56.57,3.09,0.25,0.11,4.47,1.39,0.48,5.03,39.26,68.71,44.91,20.02,52.49,27.49,0.21,144.39,1151,0.607,19.7,296.2,0.442,-0.897,0.79,33.45,37.72,41.47,31.62,2.38849611,22.01,827
03069000,Ref,TRUE,551,0.61,38.774777,-79.812269,140.95,8.3,78.1,271.7,138.4,167.1,16.4,11,572.7,24.4,0.074,2.9,3.6,11.14,17.5,775.6,94.94,0.72,0.13,0.03,0.15,0.59,0.14,15.56,56.01,3.69,3.75,0.11,4.19,1.39,0.58,5.16,38.67,68.35,44.76,19.94,52.44,27.62,0.22,139.56,1091,0.606,21.2,293,0.39,-0.921,0.88,32.07,36.89,41.11,30.96,2.302495558,22.11,977
03069500,Ref,TRUE,1856.9,0.88,38.907151,-79.620604,139.14,8.29,77.3,267.2,141.3,164.9,16.1,10.9,572.3,24.5,0.071,3.2,3.8,11.12,62.2,754,89.59,2.87,1.74,0.04,0.08,2.67,0.2,15.53,58.03,5.76,1.12,0.11,3.94,1.39,0.57,5.16,39.44,68.23,45.84,20.4,53.57,26.04,0.22,136.7,1001,0.52,18.7,294.7,0.418,-0.908,2.24,31.77,36.75,40.09,30.61,2.31318436,22.05,997
03069870,Ref,FALSE,2350.9,0.83,38.971437,-79.627986,138.5,8.51,76.9,269.3,139.5,164,16.1,10.8,582.9,24,0.074,3.1,3.6,11.22,50.9,747.5,89.53,3.29,1.42,0.04,0.07,2.86,0.43,13.67,62.69,5.24,1.07,0.11,3.97,1.4,0.65,5.25,38.46,68.27,45.21,19.82,53.43,26.75,0.22,135.94,958,0.509,19.7,288.2,0.313,-0.95,1.99,31.45,36.52,40.09,30.49,2.248605035,22.25,1054
