StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
03463300,Ref,TRUE,112.2,2.63,35.775911,-82.222951,158.27,9.71,73.1,273.8,138.3,134.6,13.6,8.7,586.3,12.7,0.047,2.7,6.9,9.73,10.1,902.9,93.72,1.75,0.02,1.3,0.23,1.75,0,97.34,0,1.62,0.13,3.03,1.39,1.08,5.91,55.22,88.08,45.33,17.42,37.59,44.99,0.22,283.79,1110,0.245,30.8,77.8,0.212,0.977,39.11,43.76,37.62,37.75,1.34804535,19.31,1209
03465500,Ref,TRUE,2081.6,1.85,35.991323,-82.259206,133.59,11.12,70.9,278.8,129.2,130,13.8,8,649.5,12.1,0.059,3.1,4,10.46,12.4,700.8,84.37,7.13,0.12,1.23,1.03,7.06,0.07,84.83,12.46,2.13,0.13,3.34,1.44,1.05,5.88,51.46,88.92,47.63,16.67,39.85,43.48,0.23,228.54,935,0.305,25.3,214.8,-0.822,-0.57,32.52,36.71,34.77,29.57,1.403602384,19.62,1572
03466228,Ref,TRUE,35.4,1.32,36.252766,-82.72732,114.62,13.09,69.9,287.4,115.7,122.2,12,8,755.5,7.2,0.091,3,5,11.38,126.4,390.5,14.63,77.49,0,0.16,0.87,74.21,3.28,77.03,13.55,9.42,0.15,1.3,1.45,0.3,5.69,53.41,85.7,68.85,41.35,45.45,13.2,0.31,154.42,517,0.39,5.1,167.9,-0.978,0.21,27.5,31.85,32.01,22.73,1.467854432,20.75,177
03467000,Ref,FALSE,567.1,1.57,36.28942,-82.835541,114.02,13.3,69.2,287.6,113.3,118.7,11.4,7.4,768.6,7.2,0.08,2.8,5.1,12.06,190.7,369.3,37.86,52.94,0.08,0.3,1.91,51.06,1.87,26.49,35.31,38.2,0.14,1.26,1.43,0.5,5.24,38.19,77.31,59.35,33.91,48.72,17.37,0.31,157.63,400,0.135,8.6,182.7,-0.999,-0.047,28.49,31.84,30.8,22.9,1.478671744,21.19,594
03471500,Ref,TRUE,198.2,1.45,36.754156,-81.483992,123.08,10.5,71.3,276.2,127.3,133.6,13.6,8.9,637.2,14.5,0.076,3.1,3.1,11.17,26.4,623.2,73.41,22.36,0.06,0.14,0.37,22.06,0.3,50.15,37.69,1.44,0.1,3.22,1.42,0.65,5.58,45.41,71.96,46.11,27.9,41.92,30.18,0.25,169.18,888,0.321,17.9,320.1,0.767,-0.642,29.42,34.1,33.83,25.73,1.535827565,20.48,773
03473000,Ref,TRUE,784.8,1.2,36.657286,-81.680015,124.63,10.62,70.8,275.7,129,129.1,13.2,7.9,640.4,13.8,0.08,3.3,3.3,10.94,24.1,641.8,75.98,19.7,0.05,0.34,0.42,19.49,0.21,55.17,38.31,3,0.12,3.14,1.45,0.9,5.83,45.78,81.65,50.47,25.64,41.02,33.33,0.26,177.07,886,0.284,18.2,302.3,0.534,-0.845,29.76,35.29,33.53,26.04,1.474616863,20.5,1197
03479000,Ref,TRUE,235.6,1.83,36.218153,-81.767596,130.49,10.21,72.2,277.9,126.8,139.2,13.9,9,615.2,14.1,0.073,3.5,2.4,10.89,12.3,769.8,76.65,11.67,0.14,0.8,0.9,11.6,0.07,97.81,0,1.63,0.13,3.61,1.46,0.94,5.97,54.54,89.77,45.65,14.64,38.67,46.69,0.23,258.1,1015,0.217,21.4,294.3,0.412,-0.911,29.47,36.87,34.71,29.38,1.527602907,19.86,1003
03488000,Ref,TRUE,578.2,2.07,36.970426,-81.529455,117.15,10.46,70.8,274.2,130.1,129.1,13,8.6,642.1,14.1,0.079,3.1,3.4,10.82,31,463.2,70.4,22.87,0.19,3.06,0.65,22.57,0.3,41.49,45.55,3.63,0.11,3.32,1.39,0.62,5.71,40.05,74.62,51.68,32.84,40.7,26.46,0.26,139,778,0.284,20,190.2,-0.984,-0.177,28.08,32.78,32.31,24.35,1.533788274,20.9,919
03490000,Ref,FALSE,1739.8,0.7,36.829393,-81.943528,119.34,11.59,70.1,280.2,124.6,127.8,12.4,8.2,687.2,11.5,0.078,3.2,3.8,10.72,37,435.1,70.08,22.73,0.1,2.28,1.01,22.52,0.21,51.56,39.08,2.7,0.12,2.91,1.39,0.57,5.76,44.04,77.35,55.27,34.48,41.04,24.48,0.28,145.53,662,0.281,19.2,180.8,-1,-0.013,29.48,33.58,32.4,24.51,1.49318982,21.21,1076
03491000,Ref,TRUE,124.1,1.76,36.518923,-82.908483,122.09,13,69.6,283.9,114,113.3,10.8,6.8,753.3,10.4,0.074,2,5.2,11.87,80,429.5,62.3,16.59,0.1,0.4,16.46,16.18,0.42,54.81,36.72,8.47,0.13,2.2,1.43,0.56,5.92,45.63,78.64,56.39,31.34,45.27,23.39,0.3,163.92,469,0.313,15.5,156,-0.914,0.406,31.8,34.48,31.08,25.13,1.445839751,21.18,374
03491300,Ref,FALSE,119.2,1.58,36.407212,-82.793023,116.6,13.27,69.9,286.6,113.2,117.6,11.2,7.2,765.3,7.4,0.076,2,3.8,10.9,45,405.7,79.68,15.52,0.02,0.39,0.92,15.17,0.35,25.26,37.17,37.57,0.12,1.96,1.42,0.65,5.47,30.96,67.88,46.3,25.76,49.45,24.79,0.27,157.21,454,0.203,20,315.9,0.718,-0.696,29.95,32.49,30.63,23.52,1.439512812,20.96,577
03497300,Ref,TRUE,270.9,2.64,35.620279,-83.621773,172.62,11.45,68,281.1,128.4,140.3,14.2,8.1,662.8,12.2,0.065,1.7,0.7,9.78,2.5,1169.5,99.5,0,0,0.07,0,0,0,13.83,1.81,84.35,0.11,11.52,1.34,0.3,5.92,19.51,90.74,49.17,16.34,42.66,41,0.2,282.3,984,0.383,31.1,319.8,0.764,-0.646,42.48,46.04,47.37,36.77,1.518734559,19.34,1686
03498500,Ref,TRUE,696.8,1.73,35.684067,-83.740844,150.25,12.81,68.9,289.8,114.9,128.9,12.9,7.5,732.6,9.1,0.073,1.9,2.8,10.79,43.5,849.7,81.25,13.78,0.01,0.47,0.47,13.39,0.39,23.09,8.31,68.6,0.12,8.48,1.37,0.28,5.8,26.21,86.71,52.54,22.67,43.28,34.05,0.23,240.01,509,0.141,21.5,319.7,0.762,-0.647,38.7,41.08,39.46,31.11,1.415964486,20.45,1764
03500000,Ref,TRUE,361.1,2.62,35.025104,-83.385132,181.35,12.32,70.1,281.4,121.5,132.9,13.1,7.6,692.4,8.3,0.083,5,3.7,11.06,20.6,1128.9,79.8,9.94,0.13,1.72,1.63,9.46,0.47,86.82,5.16,4.79,0.13,2.9,1.41,0.75,5.63,49.77,90.94,50.58,20.46,38.59,40.95,0.23,347.34,811,0.205,22.6,239,-0.515,-0.857,50.06,49.35,40.19,41.63,1.227341863,18.94,972
