StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGA,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
11379000,Ref,FALSE,319,1.44,40.254022,-121.78361,109.37,12.18,52.2,286,129.8,81,11.7,702.8,19.2,0.491,1.6,2.8,10.37,49.5,813.7,48.44,0,24.2,26.62,0.69,57.31,4.71,37.28,0.12,2.64,1.28,1.83,5.91,34.29,76.91,44.5,20.59,40.75,38.67,0.18,104.16,1025,0.459,18.3,271.1,0.02,-1,50.28,30.91,4.25,24,1.286511975,17.67,1988
11381500,Ref,TRUE,337.6,0.66,40.23795,-121.674313,143.89,10.27,52.7,276.2,143.5,90.1,12.8,627.7,28.2,0.512,2.7,3.2,10.3,73.4,1068.5,44.58,0.65,25.29,27.82,2.16,53.01,4.79,40.04,0.12,2.86,1.34,1.47,5.8,34.22,75.71,43.66,20.11,41.06,38.84,0.18,144.7,1166,0.344,27,221.5,-0.749,-0.662,67.96,39.74,5.04,31.12,1.335226951,17.45,3044
11383500,Ref,TRUE,539.8,1.18,40.17712,-121.57416,148.35,9.9,51.6,275.1,145.5,86.3,12.4,606.3,32.5,0.527,3.1,4.3,10.29,36.2,1213.6,67.94,0.01,21.6,8.64,1.35,74.1,2.55,22,0.12,2.55,1.22,1.77,5.86,41.01,75.82,43.54,21.19,39.81,39,0.17,134.84,1393,0.555,23,264.1,-0.103,-0.995,71.45,40.5,4.54,31.89,1.394256318,17.31,2235
11384000,Ref,FALSE,187.8,0.84,39.995432,-121.647563,161.66,11.72,51.6,296.4,126.1,88.9,13,672.3,16.2,0.553,1.4,5.3,10.93,29.7,1290.3,81.76,0,13.57,3.47,0.78,82.03,2.05,15.14,0.13,1.89,1.18,1.64,6,45.97,82.01,50.28,24.72,41.03,34.25,0.15,182.03,974,0.505,24.4,236.5,-0.551,-0.834,79.89,43.83,3.74,34.21,1.182762877,17,1738
11390672,Ref,FALSE,99.5,1.6,39.272433,-122.368206,54.49,16,58.3,328.2,89,51.8,8.1,871.2,1.7,0.611,0.1,15.3,11.62,521.3,165.4,0.02,0,31.46,67.75,0,1.08,22.13,76.78,0.15,0.29,1.33,1.14,6,41.29,97.29,79.24,40.86,44.56,14.59,0.27,37.51,217,0.252,18.4,95,-0.088,0.996,30.27,12.79,1.13,10.24,1.16412512,18.39,660
11409300,Ref,TRUE,59.7,1.43,39.476337,-120.928582,172.27,11.11,57.9,290.7,135.7,83.1,12,636.3,21.3,0.544,5.9,8.2,10.2,26.6,1386.4,83.03,0,14.89,0.15,0,62.94,13.89,23.17,0.1,3,0.93,1.17,6,32.38,65.48,37.72,16.79,43.56,39.64,0.16,200.52,1276,0.553,22.5,236.3,-0.555,-0.832,84.08,47.08,4.16,37.04,1.224436018,17.22,1092
11409500,Ref,FALSE,89.5,1.33,39.461577,-120.964181,165.27,11.62,57.9,292.7,132.5,82.1,12,658.5,18.4,0.549,6.2,8.6,10.24,33.2,1308.6,85.79,0,11.13,0.72,0,57.93,21.77,20.3,0.11,2.56,1.02,1.08,6,36.94,70.71,40.96,19.48,41.79,38.73,0.18,193.62,1170,0.534,20.8,233.9,-0.589,-0.808,81.21,44.95,3.77,35.42,1.196041211,17.24,1276
11413320,Ref,TRUE,8.2,3.06,39.566429,-121.091085,205.12,10.86,58,295,140.1,84.5,12.8,625.7,16.7,0.568,5,4,9.62,35.8,1505,92.01,0,5.61,0.09,1.47,46.23,20.3,32.01,0.1,2.67,1.37,0.95,5.93,33.19,79.54,30.95,17.22,29.27,53.51,0.19,244.75,1134,0.532,12.8,226,-0.695,-0.719,103.91,55.8,4.11,41.85,1.160072555,16.86,284
11413323,Ref,TRUE,5.4,2.96,39.550012,-121.116996,199.32,11.33,58,295.7,137.6,84.5,12.9,637.8,13.7,0.568,5.3,4.7,10.15,35,1380.4,92.09,0,6.07,0,0.42,43.9,34.93,20.75,0.13,1.8,1.3,0.89,5.99,42.7,82.28,44.49,22.83,36.96,40.21,0.22,232.84,1091,0.683,15.1,140.3,-0.769,0.639,100.44,53.72,3.97,40.52,1.12506188,16.85,268
11426150,Ref,FALSE,9.3,3.53,39.283578,-120.355625,170.76,6.8,57.1,253.9,179,103.3,14.3,480,64.8,0.519,3.4,1.7,8.67,9,1100.5,71.67,0.1,25.68,0.39,0,51.3,5.43,43.26,0.09,4.02,1.03,2.99,5.54,34.55,60.38,24.03,11.5,33.3,55.2,0.16,181.27,2092,0.383,27.9,209.2,-0.873,-0.488,80.32,47.95,5.9,36.39,3.365645758,17.61,737
11427700,Ref,TRUE,25.5,2.26,39.157212,-120.458633,176.9,7.96,58.2,268,164.2,89.4,12.8,519.4,46.7,0.54,5,5.2,9.17,11.5,1159.2,81.04,0.03,17.45,0,0.78,77.24,0,21.98,0.08,3.5,1.02,3.55,5.96,33.65,54.43,22.74,13.15,34.75,52.09,0.17,167.14,1954,0.531,25.3,238.2,-0.527,-0.85,85.78,48.96,4.83,37.31,1.670689257,16.98,654
