StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
06479500,Ref,TRUE,1712.6,1.05,45.33285,-97.10693,57.69,6.03,68.3,266.8,134.4,77.3,9.4,4.4,626.3,15.6,0.394,1.6,5.9,13.33,816.9,54.5,0.47,52.41,0.03,0.01,31.51,4.22,48.19,80.5,7.04,4.04,0.17,1.82,1.38,1.71,4.95,60,96.3,74.95,26.21,53.31,20.48,0.29,88.29,550,0.302,1.1,228.1,-0.668,-0.744,11.26,4.06,15.84,25.36,12.43,3.178259474,33.49,116
06601000,Ref,TRUE,450.2,2.05,42.21566,-96.541384,72.73,9.22,66.6,271.9,125.2,76.8,9.6,3.6,712.6,12.5,0.346,2.3,4.4,12.11,171.3,97.7,5.31,65.07,0,0,23.89,2.26,62.81,91,1.4,4.71,0.2,1.22,1.3,1.42,5.36,60,99.4,95.17,25.54,70.67,3.79,0.33,123.9,414,0.617,5.3,96.9,-0.121,0.993,0.62,5.28,23.81,27.37,16.28,2.914949822,30.93,133
06614800,Ref,TRUE,4,3.03,40.485627,-105.871863,119.54,0.13,56,229.2,191.3,142.9,14,8.9,339.3,67,0.182,0,0,8.81,2,553,11.57,0,29.04,0,5.63,0,0,25,25,20,0.08,8.98,1.42,0.91,5.12,49.41,55.41,22.59,12.22,33.09,54.69,0.1,52.32,3428,0.408,34.2,22.5,0.924,0.383,0.13,34.18,40.07,17.9,27.58,3.982309175,20.48,617
06622700,Ref,TRUE,98.7,2.24,41.400059,-106.451843,89.96,2.34,56.5,242,179.9,109.7,11.6,6.9,396.6,64.4,0.19,0,0,10.02,29.3,619.7,90.82,0.02,0.06,1.02,6.99,0.02,0,67.17,2.37,30.46,0.08,4.06,1.42,0.68,5.97,45.94,59.48,24.76,14.61,33.57,51.82,0.14,70.71,2866,0.479,14.3,291,0.359,-0.934,1.1,26.67,30.12,13.17,20.26,3.715786975,23.44,841
06623800,Ref,TRUE,187.7,1.92,40.969326,-106.754359,114.22,1.82,55.7,237.9,181.2,129.8,15.8,7.1,392.9,71.1,0.276,1,0,10.73,8.4,809,91.29,0.01,0.42,0.39,6.22,0.01,0,55.84,7.74,31.76,0.08,4.36,1.43,0.63,5.88,46.67,61.36,26.77,14.98,33.18,51.84,0.15,58.89,2907,0.407,20.1,283.1,0.226,-0.974,1.67,39.99,35.2,13.86,25.13,4.015610566,22.74,953
06632400,Ref,TRUE,163,1.91,41.471666,-106.236785,88.86,1.95,54.7,239.4,182.6,106.6,11.1,6.6,388.6,64.5,0.198,0,0,10.63,30.4,474.9,81.17,0.07,0.33,1.67,14.11,0.07,0,66.33,6.36,27.31,0.08,3.97,1.39,1.09,5.91,44.63,62,28.3,15.8,36.33,47.86,0.14,72.94,3013,0.606,16.1,31.5,0.853,0.522,2.64,26.03,30.16,13.47,18.86,3.692914114,22.98,1053
06637750,Ref,TRUE,23.5,2.4,42.559476,-108.825895,72.11,1.5,55.3,249.2,172.3,84.7,9,5,384,61.1,0.17,0,0,10.49,39.7,270.2,60.99,0,0,36.64,1,0,0,25,0,59,0.08,2.58,1.45,0.32,5.95,60,68.52,32.7,19.66,36.33,44.01,0.15,29.32,2761,0.378,11.5,124.2,-0.562,0.827,0.17,19.29,24.58,10.32,16.18,3.350517209,22.05,556
06696980,Ref,FALSE,61.9,3.32,39.36915,-105.964655,73.12,0.38,55.6,235.3,181.1,127,13.4,7.2,345.6,54.3,0.088,1,0,9.48,25.2,280,50.72,0,12.31,0.03,32.35,0,0,54.53,24.34,15.93,0.08,3.33,1.43,1.19,5.92,47.61,58.77,26.91,17.98,34.47,47.55,0.14,43.8,3426,0.336,27.5,124.5,-0.567,0.824,3.17,16.53,24.15,15.95,16.57,3.726864146,20.11,1177
06700500,Ref,FALSE,239.2,1.47,39.242754,-105.461269,75.39,2.66,52,247.4,174.3,89.7,12.6,4.3,398.8,34.9,0.068,0,0.4,9.78,10.9,208.4,68.41,0.03,1.02,13.54,13.3,0.03,0,43.07,26.8,29.24,0.08,5.03,1.43,0.69,5.97,43.41,59.23,23.72,18.49,28.21,53.3,0.1,42.1,3156,0.624,26.4,90.1,-0.001,1,3.69,15.87,22.25,20.19,16.96,3.56798423,19.35,1665
06717400,Ref,FALSE,113.6,3.11,39.672424,-105.633131,63.22,2.28,55.8,247,168.7,114.1,12.5,6.2,385.8,53.1,0.186,1,0,9.29,4.6,368.1,73.78,0,5.33,0.41,17.33,0,0,38.5,20.5,24.5,0.07,5.49,1.51,0.26,5.57,51.07,64.25,24.52,10.77,31.03,58.2,0.13,30.87,3234,0.446,31.1,46.7,0.686,0.728,1.97,9.77,21.41,19.3,12.61,3.875996643,20.31,1750
06730300,Ref,FALSE,39.2,2.13,39.891975,-105.349589,59.43,4.9,55,253.4,161.1,88.8,10.2,5,452,28.1,0.261,0.6,1,9.9,13.9,123,81.32,0.06,0.04,10.47,4.67,0.06,0,42.4,34.43,23.17,0.07,3.78,1.4,0.58,5.96,42.12,59.85,24.4,18.35,26.5,55.15,0.12,39.32,2519,0.44,26.8,76.6,0.231,0.973,1.21,7.18,23.11,18.05,11.08,2.839294401,20.58,1194
06746095,Ref,TRUE,8.9,2.73,40.529023,-105.885077,114.7,0.24,56,231.4,188.6,143.3,14,9,341.1,67,0.165,0,0,8.7,6,728.4,60.31,0,8.49,0,9.7,0,0,32.93,22.36,22.64,0.07,6.93,1.47,0.53,5.39,50.38,60.6,23.72,11.37,31.88,56.75,0.12,50.18,3280,0.377,26.2,29,0.875,0.484,0.15,31.62,37.98,17.44,27.25,4.065730529,20.7,621
