StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
09498503,Ref,TRUE,2.9,3.07,33.799525,-110.949057,85.13,13.32,37.6,307.3,95.7,71.8,9,2,754.8,8,0.215,3,8,11,281,96.99,0,3.01,0,17.91,64.03,18.06,0.12,2.48,1.4,0.36,34.45,79.34,40.49,21.15,36.03,42.82,0.16,71.8,2074,0.687,36.4,238.9,-0.516,-0.856,29.57,20.27,16.45,18.58,1.165966723,18.6,616
09505200,Ref,TRUE,285.7,1.21,34.70024,-111.511833,63.39,9.03,52.9,275.2,152.8,69.6,9.6,2,584.1,27.6,0.165,10.8,11.49,391.8,162.7,74.67,0.01,22.72,2.2,36.57,13.36,50.07,0.13,1.07,1.41,0.72,56.26,78.57,53.62,37.81,32.76,29.43,0.21,66.35,1996,0.568,10.7,261.5,-0.147,-0.989,20.48,13.81,13.44,15.66,1.78608759,20.14,1356
09505250,Ref,FALSE,132.3,1.92,34.740852,-111.584014,61.49,10.85,52.4,282.5,142.1,64.9,8.8,1.8,650.2,23.9,0.158,9.1,10.92,323.6,141.6,64.2,0.01,34.15,0.8,28.18,18.41,53.41,0.14,1.33,1.41,0.66,54.89,80.78,55.14,36.53,33.9,29.57,0.22,59.22,1885,0.566,11,264.8,-0.091,-0.996,19.57,13.36,13.15,15.4,1.690985046,20.18,1215
09505300,Ref,FALSE,65.1,1.42,34.791235,-111.571173,65.42,10.06,53.4,279.8,145.6,70.3,9.1,2,617.1,29,0.166,11.2,11.47,428.3,176.7,90.74,0,5.39,0.21,26.19,17.01,56.8,0.14,0.58,1.4,0.72,54.91,80.48,57.25,38.8,34.44,26.77,0.22,64.02,1975,0.54,8.5,258.8,-0.193,-0.981,21.06,14.38,13.65,16.38,1.776948502,20.21,861
09505350,Ref,TRUE,365.7,1.79,34.825221,-111.61363,63.67,11.09,52.7,284.5,138.3,69.2,8.9,2,662.2,26.9,0.163,15.7,11.19,443.5,169.4,81.23,0.48,13.57,1.37,39.91,6.92,53.17,0.13,0.8,1.41,0.72,57.58,63.66,43.1,38.33,31.96,29.71,0.2,61.84,1965,0.673,12.8,245.5,-0.415,-0.91,20.32,13.95,13.32,16.09,1.836833371,20.29,1243
09505800,Ref,TRUE,614.9,1.25,34.599979,-111.428052,66.14,8.77,52,275.8,152.6,71.5,10,2,573.7,25.2,0.165,8.3,11.32,381.8,175.9,83.44,0.07,12.83,2.61,53.87,10.66,35.47,0.12,1.52,1.42,0.59,55.46,72.01,45.71,34.37,31.91,33.72,0.2,71.22,2075,0.713,10.6,265.5,-0.078,-0.997,21.54,13.78,14.5,16.26,1.604808539,20.36,1776
09508300,Ref,TRUE,93,1.24,34.173549,-111.578299,61.67,13.92,39.9,299.8,118.2,60.5,8.7,1.8,779.9,8.4,0.144,0.9,10.05,13.2,110.1,43.73,0.02,56.07,0.05,0.3,68.23,31.47,0.09,2.68,1.29,0.63,30.17,67.47,35.27,22.26,37.89,39.84,0.08,56.77,1528,0.523,27.8,281.7,0.203,-0.979,19.44,12.33,14.86,14.9,1.306686524,20.47,1560
09510100,Ref,FALSE,11.7,2.02,33.976643,-111.455079,77.43,12.91,37.9,296,120,53.7,7.7,1,723.9,8.2,0.213,0,8.95,7.9,163.9,73.72,0.07,26.21,0,0,60,40,0.07,4,1.25,0.42,30,69.79,27.44,14.93,30.44,54.63,0.11,62.23,1601,0.509,27.7,183.4,-0.998,-0.059,26.25,16.58,15.68,18.42,1.226106635,19.56,700
09510200,Ref,TRUE,425.3,1.74,33.814342,-111.472319,61.33,17.05,36.1,323.6,81.4,50,6.9,1,956.2,2.1,0.215,0.4,10.19,18.1,135.5,14.66,0.04,84.07,0.31,33.14,24.14,42.72,0.09,4.14,1.34,0.34,33.57,72.46,31.51,15.96,29.86,54.17,0.14,54.17,1143,0.372,21.4,235.3,-0.57,-0.822,20.86,13.03,12.33,15.08,1.157988363,20.07,1620
09512200,Ref,TRUE,4.6,2.16,33.334753,-112.086626,22.26,21.23,34.2,341,40.1,33.7,4,0.2,1231.3,0,0.203,0,9.02,16,9,0,0,94.73,0.08,0,0,100,0.06,3.51,1.36,0.61,10.63,39.1,13.37,14.96,29.76,55.28,0.03,25.7,523,0.245,19.5,359.1,1,-0.016,7.3,3.98,5.21,5.92,-0.523598776,20.89,387
09512280,Ref,TRUE,188.7,2.43,33.959347,-111.884562,50.78,17.61,38.1,330.3,73.4,53.2,6.9,1,973.2,0.5,0.208,1,10.42,13.5,80.5,2.55,0,97.25,0.01,28.68,28.79,42.53,0.11,5.25,1.39,0.21,43.65,77.86,36.63,18.83,28.78,52.39,0.19,52.29,1168,0.503,21.1,228.3,-0.665,-0.747,17.54,10.27,10.32,12.65,1.18103836,20.15,944
09513780,Ref,TRUE,177.5,2.34,34.014058,-111.976797,52.71,17.16,40,327.3,77.3,52.6,7,1,949,0.8,0.196,10.2,10.1,353.9,82.9,3.69,0.02,95.88,0,21.88,17.79,60.33,0.12,3.45,1.44,0.19,44.62,85.41,40.54,30.93,30.45,38.62,0.18,51.83,1228,0.485,22.5,256,-0.241,-0.97,17.83,10.27,11,13.61,1.195661828,20.04,1078
09513800,Ref,FALSE,222,1.54,33.999861,-112.006382,49.45,17.85,40.3,330.2,72.9,50.3,6.7,0.9,994.7,0.7,0.199,11.9,10.45,640.3,71.3,2.95,0.03,94.65,0.04,19.5,17.97,62.53,0.12,2.97,1.43,0.17,42.4,84.28,38.86,32.27,30.52,37.21,0.16,49.36,1155,0.466,19.8,241.3,-0.48,-0.877,16.85,9.68,10.19,12.72,1.182037903,20.14,1176
09515500,Ref,FALSE,1078.8,1.84,34.249735,-112.532698,50.31,14.1,46.5,301.2,113.9,47.7,7.2,1.3,789.6,5.5,0.103,9,10.43,321.2,80,24.32,0.08,75.11,0.15,13.18,28.42,58.41,0.11,1.39,1.37,0.36,34.66,78.84,37.55,31.81,33.11,35.09,0.12,50.94,1331,0.374,18.3,231.8,-0.618,-0.786,15.19,9.26,14.43,11.44,1.322702129,19.78,1749
09535100,Ref,TRUE,1482.9,2.04,32.273482,-112.418316,25.97,20.39,35.2,339.8,60,33,6.2,0,1131.1,0,0.235,0.7,12.65,325.1,12.1,0,0.22,98.57,0.01,73.3,9.69,15.46,0.11,2.75,1.42,0.38,54.51,75.52,34.31,17.75,31.69,50.57,0.18,33.91,656,0.141,3.9,179.6,-1,0.007,6.59,3.29,9.87,6.12,-1.432717449,20.46,694
09537200,Ref,TRUE,204.1,2.92,31.633318,-109.440446,46.24,14.79,40.9,297.3,114,51.3,11.2,1,786.8,2.6,0.298,2.1,10.92,151.1,22.6,15.22,0,82.43,2.32,5.98,25.7,68.32,0.12,1.33,1.41,0.25,31.35,75.28,41.29,25.41,36.25,38.34,0.17,60.3,1599,0.243,13.1,223.2,-0.729,-0.684,10.36,4.28,20.63,10.99,4.286103931,17.65,769
