StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
02312200,Ref,TRUE,413.5,1.51,28.511285,-81.981767,129.92,21.87,72.4,352.4,44.5,101.8,15.2,4,1130.3,0,0.262,5.4,1.2,14.49,240.9,230.9,12.94,24.81,0.06,4.18,1.08,23.5,1.31,10.47,0,11.16,17.11,61.26,0.08,9.76,1.53,0.85,1.45,59.31,99.23,15.33,9.83,5.78,84.38,0.1,513.64,28,0.346,0.1,260.7,-0.162,-0.987,53.4,21.84,25.16,54.08,28.84,3.118362189,12.19,26
02313700,Ref,TRUE,1031.6,1.22,29.415292,-82.676075,144.59,20.66,72.1,325.8,65.8,104.1,15.7,5,1071.3,0,0.222,5.3,0.8,14.25,241,382,35.88,15.65,0.4,16.01,7.46,9.25,6.4,26.68,0.18,4.24,13.41,55.37,0.09,11.57,1.47,3.85,2.2,56.62,99.87,9.71,5.07,4.72,90.21,0.1,506.85,16,0.32,0.3,222.1,-0.742,-0.671,18.44,27.66,27.43,60.11,29.38,1.416392685,14.45,50
02314200,Ref,TRUE,70.2,3.23,29.147964,-82.58548,139.58,21.08,72,337,58.4,105.1,16,5,1091.1,0,0.232,4.5,0.9,13.73,118.9,331.1,67.59,7.08,0,4.66,1.16,6.71,0.37,12.3,0,2.31,14.91,70.48,0.07,11.49,1.52,0.46,1.53,57.17,99.98,7.93,3.68,4.27,92.05,0.1,525.99,16,0.357,0.2,263.2,-0.118,-0.993,14.61,25.67,26.71,57.73,29.47,1.557871385,14.44,28
02314500,Ref,TRUE,3322.2,2.64,30.941955,-82.457921,130.31,19.31,72,317.1,71.3,99.5,12.7,5,1015.5,0,0.121,8.5,1.6,14.92,643.2,296.2,25.99,1.08,0.03,6.89,5.27,0.52,0.56,0,0.18,15.39,37.57,43.57,0.11,7.57,1.44,5.16,0.67,60,99.66,21.2,10.51,10.95,78.54,0.11,417.46,38,0.273,0,133.2,-0.685,0.729,57.37,29.67,28.28,46.97,25.38,1.474159023,16.59,33
02315000,Ref,TRUE,5008,1.46,30.862781,-82.562514,131.13,19.35,72,317.5,71.5,100.2,12.9,5,1017,0,0.115,8.8,1.7,14.71,526.4,305.2,28.89,0.88,0.03,9.14,5.89,0.44,0.44,0.28,0.21,17.12,33.49,44.5,0.11,7.67,1.45,4.31,0.75,60,99.61,20.82,10.51,10.61,78.89,0.11,423.5,39,0.333,0,130.5,-0.65,0.76,51.73,30.21,28.74,46.77,25.41,1.487341606,16.44,48
02315500,Ref,TRUE,6136.3,1.15,30.785037,-82.569846,131.7,19.44,72.1,318.1,70.9,101,13.2,5,1020.8,0,0.12,8.7,1.8,14.65,477.1,312.6,30.48,1.04,0.07,9.47,5.59,0.57,0.46,1.13,0.63,16.31,33.09,45.23,0.11,7.59,1.46,4.08,0.81,59.98,99.57,20.81,10.63,10.47,78.9,0.11,427.8,39,0.429,0.1,126.1,-0.589,0.808,49.67,30.06,28.83,47.27,25.54,1.489995956,16.28,56
02315550,Ref,TRUE,6622.2,1.17,30.753537,-82.588706,131.96,19.48,72.1,318.2,70.9,101,13.2,5,1022.9,0,0.12,8.6,1.8,14.58,453.8,315.9,30.1,1.79,0.41,10.1,5.73,1.19,0.6,2.96,1.44,16.7,31.34,44.22,0.11,7.67,1.47,3.87,0.95,59.94,99.45,20.7,10.59,10.42,78.99,0.11,429.95,39,0.458,0.2,118.9,-0.483,0.876,47.95,30.1,28.93,47.34,25.58,1.491224263,16.22,59
02321000,Ref,TRUE,465.3,1.56,30.064036,-82.143375,133.91,19.78,72.7,323.8,68.8,103.1,14.8,4.7,1027,0,0.193,9.5,1.9,14.28,754.5,295.2,34.79,9.81,1.36,16.43,8.58,8.54,1.27,0.53,0,11.75,27.54,60.06,0.1,7.09,1.49,1.76,0.75,60,99.91,23.91,12.32,11.95,75.72,0.1,460.03,42,0.333,0.2,267.2,-0.048,-0.999,22.26,26.33,27.74,51.43,28.43,1.618146211,14.99,51
02322698,Ref,FALSE,644.6,1.42,30.087998,-82.689594,136.12,20.16,73,322.8,66.6,105,14.4,5,1052.1,0,0.166,8.5,1.7,13.64,170.4,351.4,22.65,26.67,0.16,21.69,8.75,19.74,6.93,61,8.01,14.67,5.91,10.41,0.08,8.1,1.53,0.57,4.05,59.54,99.27,23.34,12.7,11.12,76.18,0.1,466.61,29,0.41,1,209.3,-0.872,-0.489,8.24,28.55,29.24,52.26,26.07,1.561494558,15.25,61
02322700,Ref,TRUE,654.5,1.46,30.086238,-82.690824,136.13,20.16,73,322.8,66.7,104.9,14.4,5,1052.3,0,0.166,8.4,1.7,13.64,178.1,351.1,22.63,26.58,0.17,21.89,8.69,19.61,6.97,61.02,8,14.52,6.16,10.3,0.08,8.09,1.53,0.57,4.05,59.54,99.27,23.41,12.74,11.16,76.1,0.1,466.75,28,0.393,1,206,-0.899,-0.439,8.31,28.55,29.24,52.26,26.07,1.562248017,15.26,61
02322800,Ref,TRUE,3920.6,1.05,29.93803,-82.461343,135.28,20.18,72.6,326.3,68,103.3,14.7,4.9,1050.1,0,0.185,8.3,1.6,13.86,251.3,313.6,29.67,19.45,0.41,18.02,6.7,15.18,4.27,30.28,2.66,15.87,17.1,33.78,0.09,8.39,1.51,1.23,2.48,59.38,99.4,20.56,11.24,9.75,79.01,0.11,467.46,37,0.412,0.6,258.1,-0.206,-0.979,18.83,27.33,28.36,52.89,26.7,1.618478355,14.99,85
02324000,Ref,TRUE,791,2.06,29.926762,-83.240941,143.57,20.05,73,318.1,68.4,98.6,14.2,4.7,1047.7,0,0.174,11,2.4,14.68,525.1,419.6,26.26,0.08,0,9.48,5.47,0.05,0.03,3.1,1.3,10.53,30.29,39.17,0.1,8.73,1.42,2.65,0.87,58.7,99.87,17.66,9.06,8.73,82.21,0.1,508.77,21,0.386,0.7,206.1,-0.898,-0.44,54.99,29.87,28.75,56.22,28.73,1.292174682,15.26,44
