StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,HGB,HGC,HGD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
10172800,Ref,TRUE,11.1,2.51,40.479435,-112.607024,97.38,5.47,53.5,269.1,154,108.6,12.4,6.3,475.6,39.5,0.204,0,9.39,6,220.7,69.17,6.81,19.45,4.36,13,22,65,0.09,1.62,1.36,1.62,6,21.12,51.54,26.57,15.78,42.89,41.33,0.14,40.38,2551,0.436,48.8,56,0.559,0.829,29.69,32.08,13.94,22.19,2.428674062,21.39,1419
10172860,Ref,FALSE,74.6,1.24,39.478317,-114.168309,32.99,8.55,44.8,264.3,148.5,54.8,6.1,3.5,591.3,25.5,0.066,2.7,10.65,24.1,15.9,22.22,0.14,77.19,0.36,22.32,10.8,66.87,0.09,2.94,1.35,1.2,5.99,31.45,52.44,27.36,16.03,46.72,37.25,0.18,11.09,2095,0.39,13.3,113,-0.391,0.92,7,10.57,6.95,8.48,2.827401561,23.8,1343
10172870,Ref,TRUE,21.3,3,39.772457,-113.931078,58.99,5.94,41.7,259.3,160.7,66.4,8.1,4,485.6,28.3,0.152,2,8.75,28.2,31.6,79.09,11.39,7.38,1.37,12.72,21.7,65.59,0.09,1.63,1.36,1.6,6,20.94,51.51,26.58,15.78,42.92,41.3,0.14,21.71,2867,0.588,47.7,154.4,-0.902,0.432,14.25,20.75,10.36,13.43,2.674026943,21.35,1574
10172875,Ref,FALSE,22.5,2.91,39.800741,-113.905099,58.43,6.01,41.1,260,159.7,66.2,7.9,3.9,485,26.5,0.143,1.4,8.62,15,43.6,77.28,10.56,10.51,1.59,12.05,20.81,67.14,0.09,1.65,1.36,1.55,6,20.51,51.42,26.61,15.78,42.99,41.23,0.14,21.55,2733,0.486,45.3,130.3,-0.646,0.763,13.74,20.8,10.54,13.56,2.731142432,21.65,1810
10173450,Ref,TRUE,268.5,1.98,37.628059,-112.690692,65.03,3.15,54.7,250.7,174.6,80.9,9.9,4,402.2,53.1,0.149,5.1,10.8,74.4,254.8,72.6,6.26,16.04,3.12,51.41,32.09,16.5,0.11,2.1,1.35,0.54,5.99,49.77,70.94,40.94,22.73,38.73,38.54,0.23,39.53,2751,0.432,10.7,109.8,-0.338,0.941,19.18,17.66,12.09,16.08,3.432067874,20.01,1224
10183900,Ref,TRUE,185.2,2.24,37.500216,-112.320462,63.03,6.04,55.6,263.3,154.2,69.1,8.4,4,487.1,46.3,0.118,2.2,10.3,34.7,115.5,88.84,2.33,6.55,0.68,19.97,49.71,30.32,0.11,1.87,1.25,1.04,5.83,36.33,66.73,43.97,24.92,45.09,29.98,0.18,27.86,2640,0.469,20.6,80.1,0.173,0.985,18.44,15.32,13.1,16.17,3.033668623,21.22,516
10205030,Ref,TRUE,134.6,2.62,38.983024,-111.523034,69.96,5.04,52.7,258.7,159.8,89.6,10.5,5.2,463.5,50.7,0.182,4.3,10.21,24.4,234,66.77,0.96,29.11,2.69,36.29,50.82,8.93,0.12,1.79,1.35,1.28,6,53.17,79.27,48.12,26.1,39.65,34.25,0.19,35.66,2633,0.406,19.9,210.5,-0.861,-0.508,20.36,21.73,10.56,17.26,2.961573525,21.77,1235
10208500,Ref,FALSE,30.9,2.17,39.694589,-111.359654,66.06,4.27,49.7,247.1,173.6,87.7,8.9,5,444.5,56.4,0.151,7.9,9.58,53.4,259.8,78.09,0,20.81,0,50.75,44.22,5.04,0.12,1.43,1.29,1.82,5.97,56.39,71.69,47.44,27.03,43.31,29.66,0.25,34.88,2654,0.804,28.2,272.8,0.048,-0.999,19.19,18.49,10.71,17.46,3.166907923,22.06,812
10219200,Ref,TRUE,72.4,2.32,39.516918,-111.74662,55.05,6,50.3,256,161.3,80.6,9.1,4.6,505,41.6,0.169,3.7,10.38,39.7,85.7,66.24,0.12,32.02,0.01,51.86,15.45,32.69,0.11,1.43,1.25,1.54,6,48.5,68.97,45.95,24.63,47.84,27.53,0.15,20.05,2306,0.677,25.5,309.9,0.641,-0.767,16.09,16.39,8.07,14.47,2.760818772,23.1,906
10224100,Ref,TRUE,14.6,2.37,39.348469,-112.207811,54.07,7.09,50,260.3,160.4,81.3,8.7,5,536.9,40.2,0.155,0,9.06,2.4,274.6,87.06,1,11.67,0.03,29.38,0.41,70.21,0.08,7.25,1.35,1.88,6,30.74,72.98,35.15,19.74,32.93,47.33,0.12,28.17,2341,0.447,31.7,318.4,0.747,-0.664,14.07,18.6,7.78,13.97,2.603431724,22.82,801
