StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGAD,HGC,HGD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
01142500,Ref,TRUE,82.2,2.88,44.004494,-72.663858,108.16,5.5,65.4,262.7,144.6,127,12.2,8.8,542.4,33.7,0.072,2,2.9,10.58,42,488,72.78,17.23,0.02,2.18,0.48,11.09,6.13,3.05,28.46,0,44.37,22.49,1.63,0.14,2.34,1.33,2,3.67,49.1,86.6,48.7,7.59,53.12,39.29,0.27,81.27,419,0.441,14.9,129.6,-0.638,0.77,1.15,24.49,24.14,30.92,28.76,3.015759113,27.58,506
01144000,Ref,TRUE,1790.2,2.2,43.887192,-72.662317,118.41,5.54,65.2,262.1,147.2,128.7,12.4,8.7,542.4,35.3,0.071,1.9,2.2,10.57,24.2,563.9,83.76,8.34,0.07,1.94,0.49,5.93,2.41,3.85,20.92,0,54.59,14.57,6.07,0.15,2.67,1.32,1.38,4.09,46.91,85.04,46.38,6.88,52.12,41,0.28,89.72,433,0.311,17.9,119.6,-0.495,0.869,1.15,25.62,28.18,33.45,31.28,3.163841525,27.65,1030
01145000,Ref,FALSE,208.1,1.96,43.698908,-72.011445,110.16,6.06,67.7,257.1,150.1,122.2,11.5,8,555,33.8,0.07,1.8,0,11.01,25.9,581,85.9,2.58,0.27,2.48,1.05,1.71,0.87,21.66,18.93,0.33,45.11,3.45,10.53,0.11,4.92,1.36,2.33,4.21,52.6,76.77,32.19,4.36,42.47,53.18,0.19,87.51,395,0.19,10,227.7,-0.674,-0.739,5.22,23.39,26.7,31.07,29.12,3.009955398,26.99,714
01150900,Ref,TRUE,61.2,2.97,43.658724,-72.79151,142.41,5.15,66,260.2,152.7,140.3,13.3,9.6,519.6,38.3,0.053,2.5,2,10.67,19.9,859.3,83.72,0.86,3.25,0.75,1,0.84,0.02,0,7.56,0,82.18,3.33,6.93,0.17,2.4,1.31,0.81,4.3,44.65,81.97,45.95,6.4,54.05,39.54,0.34,125.57,610,0.281,21.7,29.1,0.874,0.486,3.25,30.98,35.54,39.32,36.48,3.505566907,27.25,921
01153500,Ref,FALSE,263.3,2.53,43.272059,-72.645977,123,6.09,66.1,262.8,146.9,126.5,12,9.1,556.9,35.7,0.033,2.9,2.5,10.9,30.4,596.3,85.63,7.25,0.07,0.87,0.19,6.5,0.74,2.32,17.22,0,53.19,22.85,4.42,0.13,2.45,1.38,1.32,3.78,49.85,82.63,42.29,6.21,49.79,43.99,0.25,104.09,395,0.364,14.9,80.7,0.161,0.987,1.12,27.61,31.37,32.89,31.03,3.017040449,26.78,759
01154000,Ref,TRUE,187.3,1.94,43.153318,-72.606804,123.75,5.89,67.2,265.4,144.6,125,11.8,8.9,545.6,35.7,0.024,2.7,1.8,10.83,20.7,641.5,88.77,5.23,0.04,0.91,0.2,5.12,0.11,3.32,24.75,0.43,57.99,3.35,10.16,0.14,2.91,1.32,1.27,4.85,45.38,78.89,42.69,6.94,52.42,40.64,0.27,108.79,381,0.349,15.2,78.9,0.192,0.981,1.56,28.08,31.65,32.53,31.32,3.00738394,26.62,742
01155000,Ref,FALSE,215.4,1.71,43.189231,-72.275185,110.51,6.97,69,270.6,136.9,112.2,11,8,583,31.4,0.047,2.4,1.6,10.88,32.2,508.9,84.84,6.24,0.25,0.96,0.27,6.07,0.16,10.65,27.06,0.66,51,3.17,7.45,0.12,3.05,1.45,0.81,4.03,52.54,80.86,41.44,6.15,50.75,43.1,0.22,91,390,0.51,10.1,238.7,-0.519,-0.855,2.84,24.4,28.18,30.27,28.05,2.630484323,26.42,537
01162500,Ref,TRUE,49.7,1.26,42.755813,-72.127291,120.88,6.68,65.6,259.8,144.5,109.1,10.3,7.8,567.4,31,0.027,2.7,1,11.99,107.9,565.8,78.48,2.29,0.08,0.81,0.31,2.23,0.06,6.59,29.39,1.17,50.68,7.83,4.34,0.11,3.76,1.36,5.56,3.76,55.99,78.54,31.04,4.01,40.38,55.61,0.19,107.41,329,0.26,4.9,141.1,-0.778,0.628,13.59,27.77,30.2,31.96,30.93,2.591273397,26.3,273
01165500,Ref,FALSE,32.9,2.55,42.645557,-72.35883,119.41,7.13,65.7,266.9,138,115.8,11,8,586,31,0.035,3,0.5,11.51,33.4,570.4,87.57,1.42,0.04,0.14,0.05,1.42,0,14.55,31.83,2.08,30.08,14.45,7,0.12,5.36,1.35,2.28,4.23,53.78,78.3,31.77,4.51,40.83,54.66,0.2,107.79,269,0.333,8.9,130.8,-0.653,0.757,6.43,26.79,30.07,31.82,30.48,2.600913965,26.69,333
01169000,Ref,TRUE,230.6,2.33,42.736926,-72.776957,131.41,6.6,66.9,268.9,136.9,130.7,12.1,9.7,564.4,34.3,0.022,2.3,2.6,10.96,47.3,723.1,84.6,8.11,0.04,0.72,0.08,7.94,0.17,1.51,13.49,0,63.9,6.62,14.48,0.13,2.37,1.43,1.07,3.94,46.84,81.81,44.85,6.12,54.07,39.81,0.25,116.05,453,0.56,12.4,112.3,-0.38,0.925,2.16,29.78,34.03,34.18,33.49,2.956586427,26.15,573
01170100,Ref,TRUE,107,1.82,42.795993,-72.70463,130.78,6.56,67.4,270,138,129.1,12.1,9.5,563.3,34.3,0.018,2,1.7,11.24,33.7,716.9,91.01,4.15,0,0.14,0.03,4.08,0.07,2.39,25.35,0,54.22,5.64,12.41,0.14,2.9,1.34,1.01,4.83,45.15,81.7,43.76,6.03,52.82,41.15,0.24,117.35,428,0.487,13.6,117.5,-0.461,0.887,1.73,29.86,33.81,33.83,33.42,2.956226857,26.2,589
01170930,Ref,FALSE,47.1,1.85,42.483669,-72.657269,120.57,8.21,65.7,270.6,132.8,113,11,8,623,29.4,0.029,3,1.6,11.13,142.4,527.6,69.95,15.22,0.1,0.62,0.67,13.17,2.05,22.76,9.54,0,43.29,16.51,7.89,0.13,5.67,1.33,0.84,3.17,55.24,78.71,33.25,5.06,40.56,54.37,0.21,116.63,169,0.347,8.3,92.2,-0.038,0.999,5.17,27.01,31.37,31.38,30.96,2.396461331,26.69,352
