StnID,CLASS,UsedInFDCStudy,DRAIN_SQKM,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,PPTAVG_BASIN,T_AVG_BASIN,RH_BASIN,FST32F_BASIN,LST32F_BASIN,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,PERDUN,PERHOR,TOPWET,CONTACT,WB5100_ANN_MM,FORESTNLCD06,PLANTNLCD06,BARRENNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,HGA,HGB,HGC,HGD,HGBD,HGCD,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEDIAN_M_BASIN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,WATERWETNLCD06,DJF_PPT7100_CM,MAM_PPT7100_CM,JJA_PPT7100_CM,SON_PPT7100_CM,WB5100_MON_PHASE,JUL_JAN_TMP_DIFF_DEGC,ELEV_RANGE_M_BASIN
05469500,Ref,FALSE,211.1,2.1,40.843582,-90.739043,93.85,10.37,69,282.4,112.9,97.2,10.3,6.2,729.9,15,0.208,2,6,13.23,738.8,228.8,3.7,89.81,0.01,0.03,0.02,3.71,86.11,0,85,3.34,0,11.66,0,0.2,1.31,1.36,1.31,3.97,60,99.87,96.46,28.08,68.8,3.12,0.3,165.46,220,0.612,0.7,245.3,-0.419,-0.908,0.2,12.91,26.87,31.02,23.06,2.393955699,29.04,49
05473450,Ref,TRUE,161.6,2.13,41.001349,-91.434735,93.76,10.1,69,281.7,115.2,94.8,10,5.6,723.3,14,0.239,2.3,14.2,13.07,475.4,243.4,0.99,89.7,0.01,0.05,1.54,1.45,88.25,0,61.58,12.79,1.15,2.48,22,0.19,0.97,1.4,1.54,3.27,59.92,99.51,93.95,33.66,61.41,4.93,0.3,168.99,220,0.423,0.6,265.3,-0.082,-0.997,0.77,11.56,26.66,32.11,23.43,2.55760432,29.24,52
05473500,Ref,FALSE,272,2.4,41.027991,-91.485393,93.53,10.11,69,281.4,115,94.6,10,5.3,724.3,14,0.242,2.5,14.3,13.18,442.7,243.7,1.97,89.34,0.01,0.16,1.45,2.76,86.58,0,63.65,13.96,0.96,2.72,18.71,0.19,0.96,1.4,1.48,3.45,59.84,99.43,93.55,33.63,61.18,5.19,0.3,169.09,220,0.464,0.8,239.3,-0.511,-0.859,0.65,11.42,26.55,32.14,23.41,2.572497775,29.33,56
05487980,Ref,TRUE,882.7,0.84,41.076714,-93.482477,91.71,9.66,67.9,279.5,116.2,88.1,10.1,4.8,711.1,12.8,0.306,2,10.6,12.19,491.7,234,24.08,65.41,0.01,0.56,2.72,43.47,21.93,0,15.44,68.12,4.34,4.4,7.7,0.18,0.6,1.46,1.2,3.32,57.38,98.14,84.45,34.38,53.22,12.4,0.35,182.17,300,0.476,4.1,98.1,-0.141,0.99,1.49,8.47,26.44,33.66,23.12,2.772375915,29.86,126
05488200,Ref,TRUE,234.2,1.29,41.201848,-93.184772,91.02,9.84,68,280.6,114.9,90.6,10.2,5,719.2,13,0.302,1.7,10.2,12.37,516.7,220.4,19.3,71.99,0.06,0.1,3.04,34.21,37.78,0,12.37,68.64,3.32,6.28,9.39,0.18,0.56,1.43,1.34,3.34,54.67,98.51,87.1,35.89,54.2,9.91,0.36,178.56,278,0.598,3.7,53.3,0.597,0.802,0.79,8.48,26.29,33.4,22.84,2.718532763,30.01,92
05489000,Ref,TRUE,964.8,1.88,41.059728,-93.017631,92.72,9.98,68.3,280.8,115,92.3,10.1,5.1,722.6,12.8,0.296,1.6,9.5,12.36,515.1,230.1,29.13,59.91,0.03,0.7,5.01,38.16,21.75,0,11.4,74.59,4.01,4.32,5.68,0.18,0.62,1.46,1.09,3.52,57.32,98,82.92,33.52,52.98,13.5,0.34,179.47,278,0.625,4.5,85.9,0.071,0.997,1.3,9,26.48,33.72,23.52,2.711310313,29.81,104
05494300,Ref,TRUE,226.4,1.43,40.758751,-92.602214,95.07,10.4,68.5,281.9,112.1,93.6,10.3,5.3,732.9,12,0.284,1.8,10.7,12.99,820.4,225,12.18,78.46,0,1.31,0.99,54.85,23.6,0,6.08,65.79,26.15,1.49,0.49,0.17,0.56,1.5,0.95,3.29,59.91,97.21,80.12,35.89,48.58,15.53,0.33,179.19,279,0.671,2.8,63.1,0.453,0.891,1.49,9.83,27.15,34.14,23.97,2.726287106,29.53,76
05495000,Ref,TRUE,1027.6,0.61,40.626737,-92.120702,95.32,10.68,68.3,283.1,111.7,93.8,10.1,5.3,743.5,12.7,0.254,1.8,13.2,12.86,620,243.6,20.09,67.26,0.04,2.12,2.06,35.23,32.02,0.11,13.6,65.92,17.59,1.84,0.94,0.17,0.68,1.48,0.94,3.25,59.81,95.99,77.07,34.71,47.68,17.61,0.33,176.27,227,0.483,2.6,90.4,-0.007,1,3.5,11.13,27.35,32.72,24.11,2.599337512,29.3,149
05495500,Ref,TRUE,905.6,1.76,40.20504,-91.192241,96.47,10.87,69.3,291.1,104.2,92.5,9.8,5.3,746.6,12.8,0.192,2.5,11.4,13.14,721.1,245.2,18.78,74.99,0.01,0.07,0.08,16.72,58.27,0,56.07,27.89,2.6,12.89,0.55,0.19,0.87,1.41,0.77,3.35,60,99.57,93.28,30.74,63.95,5.31,0.34,168.86,202,0.567,1.6,274.8,0.084,-0.996,0.62,13.27,28.87,29.66,24.67,2.432112587,28.72,90
05498000,Ref,TRUE,1002.6,0.93,40.322133,-92.214227,95.58,10.91,68.1,282.8,112.5,87.7,9.6,5,747.7,12.5,0.231,2,15.1,12.54,563.3,241.2,20.88,67.01,0,2.8,1.93,46.65,20.36,0,10.84,73.97,11.73,1.6,1.86,0.16,0.64,1.5,0.68,3.17,59.74,94.65,71.64,34.46,43.94,21.6,0.33,179.47,238,0.511,3.1,94.1,-0.072,0.997,2.96,11.87,27.85,31.21,24.65,2.606012429,28.95,141
05498150,Ref,FALSE,1035.8,0.83,40.314181,-92.199325,95.58,10.93,68.1,282.9,112.4,87.8,9.6,5,748.4,12.5,0.23,2,15.1,12.51,557,241,20.94,66.88,0,2.77,2,46.06,20.82,0,11,73.93,11.54,1.62,1.9,0.16,0.65,1.5,0.68,3.17,59.74,94.64,71.62,34.43,43.95,21.62,0.33,179.36,237,0.53,3.2,94.6,-0.08,0.997,2.98,11.91,27.86,31.15,24.66,2.600022847,28.94,149
05498700,Ref,FALSE,546.9,0.92,40.205898,-92.279799,96.81,10.99,68.1,282.9,112.1,89,10,5,747.7,12.3,0.226,2,15.1,12.93,718.9,253.8,15.66,72.34,0.06,2.42,1.19,49.3,23.04,0,8.45,67.66,22.06,0.93,0.89,0.15,0.56,1.48,0.68,2.97,59.77,94.95,72.85,35.81,43.73,20.47,0.34,180.57,254,0.519,2.6,100.3,-0.179,0.984,3.99,12.12,28.21,31.56,24.94,2.566110888,28.78,108
